Leaf	Picket 1	Picket 2	Picket 3	Picket 4	Picket 5	Picket 6	Picket 7	Picket 8	Picket 9
 1	0.095	0.033	0.045	0.032	0.071	0.092	0.175	0.129	0.129
 2	0.001	0.002	0.030	0.000	0.002	0.056	0.035	0.031	0.102
 3	0.062	0.066	0.045	0.009	0.045	0.043	0.005	0.018	0.015
 4	0.132	0.027	0.028	0.015	0.071	0.133	0.190	0.138	0.077
 5	0.028	0.006	0.033	0.067	0.006	0.021	0.059	0.025	0.064
 6	0.025	0.064	0.013	0.033	0.022	0.011	0.033	0.023	0.014
 7	0.115	0.043	0.063	0.066	0.058	0.013	0.016	0.004	0.004
 8	0.001	0.038	0.014	0.013	0.097	0.071	0.055	0.023	0.092
 9	0.038	0.077	0.034	0.033	0.067	0.130	0.116	0.096	0.182
10	0.052	0.111	0.033	0.165	0.155	0.015	0.162	0.165	0.140
11	0.041	0.084	0.110	0.154	0.152	0.068	0.109	0.085	0.121
12	0.188	0.267	0.117	0.112	0.184	0.139	0.161	0.158	0.050
13	0.082	0.017	0.052	0.039	0.019	0.044	0.026	0.059	0.008
14	0.048	0.052	0.179	0.138	0.080	0.142	0.081	0.045	0.096
15	0.082	0.001	0.156	0.113	0.049	0.003	0.047	0.004	0.021
16	0.023	0.032	0.111	0.060	0.087	0.037	0.112	0.017	0.001
17	0.002	0.013	0.009	0.023	0.033	0.021	0.037	0.013	0.087
18	0.039	0.025	0.013	0.022	0.031	0.044	0.080	0.012	0.104
19	0.045	0.035	0.145	0.006	0.106	0.007	0.008	0.068	0.115
20	0.109	0.022	0.048	0.150	0.080	0.028	0.006	0.035	0.080
