Leaf	Picket 1	Picket 2	Picket 3	Picket 4	Picket 5	Picket 6	Picket 7	Picket 8	Picket 9
11	0.033	0.014	0.117	0.090	0.037	0.042	0.081	0.006	0.111
12	0.069	0.039	0.082	0.023	0.007	0.018	0.017	0.009	0.108
13	0.117	0.111	0.010	0.029	0.001	0.056	0.052	0.063	0.092
14	0.059	0.125	0.021	0.018	0.044	0.080	0.008	0.012	0.007
15	0.031	0.034	0.085	0.087	0.018	0.032	0.033	0.004	0.056
16	0.066	0.080	0.106	0.009	0.005	0.014	0.037	0.000	0.071
17	0.105	0.047	0.122	0.099	0.100	0.008	0.028	0.019	0.005
18	0.096	0.148	0.062	0.068	0.057	0.025	0.008	0.017	0.040
19	0.098	0.045	0.057	0.066	0.030	0.010	0.029	0.076	0.135
20	0.034	0.016	0.018	0.051	0.023	0.015	0.048	0.003	0.073
21	0.048	0.087	0.036	0.010	0.045	0.046	0.082	0.029	0.003
22	0.054	0.046	0.021	0.071	0.013	0.016	0.023	0.066	0.007
23	0.080	0.129	0.029	0.004	0.054	0.023	0.023	0.046	0.120
24	0.069	0.105	0.018	0.111	0.014	0.030	0.040	0.063	0.088
25	0.088	0.079	0.099	0.129	0.037	0.084	0.016	0.004	0.007
26	0.097	0.143	0.020	0.025	0.033	0.008	0.034	0.025	0.135
27	0.045	0.086	0.040	0.006	0.126	0.088	0.075	0.153	0.058
28	0.024	0.021	0.028	0.036	0.005	0.094	0.017	0.033	0.028
29	0.070	0.039	0.073	0.103	0.038	0.001	0.106	0.041	0.042
30	0.051	0.114	0.000	0.052	0.124	0.072	0.022	0.108	0.002
