Leaf	Picket 1	Picket 2	Picket 3	Picket 4	Picket 5	Picket 6	Picket 7	Picket 8
11	0.085	0.148	0.125	0.157	0.048	0.059	0.022	0.025
12	0.213	0.086	0.322	0.158	0.147	0.185	0.186	0.100
13	0.024	0.070	0.189	0.032	0.004	0.072	0.019	0.038
14	0.080	0.179	0.048	0.077	0.126	0.078	0.064	0.087
15	0.057	0.159	0.087	0.013	0.017	0.063	0.018	0.013
16	0.037	0.076	0.248	0.045	0.058	0.052	0.033	0.022
17	0.034	0.038	0.164	0.012	0.010	0.083	0.067	0.151
18	0.016	0.048	0.156	0.071	0.046	0.017	0.037	0.026
19	0.003	0.181	0.172	0.070	0.007	0.081	0.007	0.031
20	0.064	0.151	3.332	0.059	0.033	0.110	0.050	0.032
21	0.040	0.116	0.304	0.111	0.100	0.017	0.029	0.077
22	0.080	0.181	0.240	0.113	0.057	0.089	0.064	0.089
23	0.102	0.162	0.275	0.031	0.018	0.005	0.080	0.114
24	0.010	0.012	0.079	0.045	0.187	0.028	0.021	0.082
25	0.017	0.166	0.169	0.123	0.007	0.018	0.021	0.028
26	0.021	0.074	0.037	0.115	0.060	0.031	0.103	0.135
27	0.025	1.494	0.046	0.983	0.078	0.010	0.040	0.053
28	0.019	0.271	0.179	0.173	0.173	0.121	0.108	0.080
29	0.060	0.297	0.240	0.102	0.140	0.017	0.071	0.099
30	0.093	0.203	0.069	0.169	0.045	0.016	0.030	0.069
