Dist2CAX	81.755	61.494	41.245	21.001	0.926	-19.246	-39.474	-59.656	-79.911
Leaf	Picket 1	Picket 2	Picket 3	Picket 4	Picket 5	Picket 6	Picket 7	Picket 8	Picket 9
 1	0.178	0.138	0.078	0.074	0.019	0.179	0.186	0.204	0.111
 2	0.097	0.072	-0.008	-0.025	-0.064	-0.040	-0.050	-0.073	-0.167
 3	0.113	0.182	0.109	0.076	-0.014	-0.825	0.137	0.054	0.019
 4	-0.024	-0.017	-0.096	-0.089	-0.101	-0.005	0.007	-0.029	0.030
 5	-0.032	-0.045	-0.037	-0.084	-0.111	-0.032	-0.035	-0.110	-0.112
 6	0.005	0.022	-0.024	-0.016	-0.031	0.032	-0.490	-0.068	-0.063
 7	-0.092	-0.111	-0.007	-0.118	-0.031	0.084	-0.105	-0.025	0.002
 8	-0.077	-0.038	-0.001	-0.055	0.038	0.172	0.084	0.069	-0.031
 9	0.075	-0.018	-0.008	-0.006	0.010	0.042	-0.075	-0.056	-0.189
10	-0.100	-0.121	-0.071	-0.087	-0.034	0.090	0.046	-0.015	-0.101
11	-0.017	-0.015	-0.063	-0.096	-0.075	0.053	0.033	-0.539	-0.051
12	0.034	0.004	-0.017	-0.065	-0.012	0.085	0.013	0.120	-0.087
13	-0.001	-0.113	-0.083	-0.078	-0.003	0.038	0.060	0.147	-0.035
14	0.012	-0.007	0.020	0.016	0.041	0.030	0.056	0.114	0.027
15	-0.033	-0.023	0.023	-0.016	0.073	0.109	0.088	0.087	-0.057
16	-0.064	-0.081	-0.092	-0.054	0.060	0.024	-0.028	0.012	1.129
17	0.001	0.015	0.043	-0.021	0.080	0.056	-0.018	-0.016	-0.161
18	-0.108	-0.122	-0.020	-0.054	-0.036	-0.018	0.005	-0.052	-0.097
19	0.010	-0.017	0.056	-0.019	0.059	0.048	0.010	-0.050	-0.091
20	0.073	0.059	0.119	0.037	0.079	-0.029	0.076	0.097	0.134
21	-0.054	-0.122	-0.050	-0.110	-0.009	-0.031	-0.051	0.012	0.027
22	-0.030	-0.094	-0.026	-0.059	0.071	-0.023	-0.039	-0.014	-0.089
23	0.037	-0.041	0.082	1.397	0.144	0.054	0.108	0.090	-0.003
24	-0.002	-0.132	0.029	0.058	-0.019	0.069	0.064	-0.010	0.118
25	-0.001	-0.056	-0.025	-0.068	0.033	-0.003	-0.012	-0.011	0.031
26	0.073	-0.054	0.030	-0.005	0.086	-0.037	-0.055	-0.001	0.045
27	0.035	-0.024	0.058	0.066	0.214	0.085	0.107	0.169	0.077
28	0.202	0.150	0.175	0.084	0.255	0.162	0.116	0.102	-0.119
29	-0.840	1.081	0.097	0.025	0.208	0.054	0.029	0.042	0.023
30	-0.006	0.051	0.078	0.038	0.162	0.012	0.008	0.062	0.012
31	0.079	0.006	0.078	-0.013	0.131	0.049	-0.042	0.009	0.067
32	0.061	-0.040	0.024	-0.027	0.104	-0.004	-0.034	-0.010	-0.112
33	0.089	0.003	0.057	-0.061	0.123	-0.034	-0.020	-0.013	0.007
34	0.068	-0.019	0.049	-0.037	-1.865	0.004	0.006	0.038	-0.015
35	0.107	-0.018	-0.433	-0.024	-0.054	-0.021	0.057	0.086	0.056
36	0.106	-0.008	-0.011	-0.069	0.183	-0.009	0.045	0.028	-0.151
37	0.001	-0.132	-0.057	-0.116	0.097	-0.105	-0.064	-0.091	-0.016
38	0.158	0.017	0.026	-0.104	0.082	-0.139	-0.116	-0.255	-0.045
39	-0.071	-0.163	-0.080	-0.187	0.050	-0.101	-0.106	-0.097	-0.099
40	0.019	-0.106	0.049	-0.048	0.143	-0.027	0.053	0.051	0.039
