Leaf	Picket 1	Picket 2	Picket 3	Picket 4	Picket 5	Picket 6	Picket 7	Picket 8	Picket 9
20	0.156	0.038	0.006	0.100	0.007	0.009	0.023	0.060	0.044
21	0.025	0.021	0.009	0.090	0.023	0.004	0.034	0.038	0.061
22	0.051	0.041	0.023	0.110	0.006	0.003	0.046	0.055	0.036
23	0.060	0.057	0.048	0.113	0.041	0.007	0.017	0.053	0.042
24	0.080	0.015	0.010	0.049	0.006	0.027	0.022	0.049	0.012
25	0.031	0.007	0.039	0.050	0.018	0.002	0.004	0.002	0.020
26	0.051	0.011	0.003	0.070	0.022	0.026	0.011	0.019	0.039
27	0.038	0.022	0.012	0.064	0.022	0.022	0.015	0.025	0.020
28	0.035	0.034	0.049	0.107	0.041	0.025	0.021	0.018	0.022
29	0.045	0.000	0.011	0.077	0.022	0.021	0.034	0.031	0.038
30	0.046	0.003	0.004	0.093	0.012	0.027	0.000	0.036	0.020
31	0.001	0.026	0.005	0.090	0.014	0.056	0.010	0.025	0.010
32	0.028	0.045	0.020	0.112	0.023	0.023	0.004	0.028	0.026
33	0.020	0.030	0.018	0.956	0.067	0.054	0.047	0.036	0.027
34	0.022	0.058	0.034	0.609	0.036	0.047	0.052	0.089	0.063
35	0.077	0.028	0.030	0.118	0.012	0.066	0.025	0.072	0.052
36	0.032	0.037	0.054	0.036	0.026	0.048	0.016	0.018	0.039
37	0.031	0.002	0.010	0.076	0.037	0.107	0.086	0.074	0.051
38	0.016	0.017	0.046	0.020	0.027	0.237	0.099	0.069	0.024
39	0.035	0.048	0.075	0.003	0.015	0.636	0.147	0.005	0.014
40	0.084	0.048	0.056	0.026	0.019	0.037	0.023	0.007	0.058
41	0.074	0.027	0.036	0.052	0.000	0.047	0.037	0.037	0.064
42	0.048	0.031	0.044	0.051	0.015	0.054	0.050	0.012	0.006
43	0.041	0.009	0.000	0.372	0.003	0.060	0.100	0.046	0.011
44	0.016	0.026	0.037	0.563	0.044	0.012	0.040	0.015	0.032
45	0.065	0.019	0.004	0.063	0.004	0.009	0.008	0.008	0.006
46	0.022	0.016	0.019	0.066	0.012	0.034	0.005	0.008	0.019
47	0.051	0.033	0.019	0.059	0.020	0.022	0.004	0.001	0.035
48	0.045	0.023	0.016	0.060	0.020	0.005	0.034	0.002	0.028
49	0.015	0.008	0.004	0.052	0.013	0.007	0.026	0.047	0.060
50	0.000	0.008	0.001	0.042	0.006	0.024	0.012	0.021	0.026
51	0.012	0.038	0.018	0.052	0.034	0.042	0.012	0.017	0.026
52	0.028	0.014	0.021	0.053	0.006	0.010	0.015	0.001	0.005
53	0.021	0.001	0.005	0.093	0.016	0.008	0.025	0.025	0.025
54	0.006	0.026	0.019	0.071	0.008	0.016	0.031	0.026	0.071
55	0.062	0.011	0.009	0.035	0.035	0.026	0.058	0.091	0.033
56	0.033	0.003	0.006	0.043	0.034	0.014	0.044	0.060	0.043
57	0.022	0.053	0.057	0.100	0.007	0.027	0.022	0.041	0.036
58	0.059	0.020	0.040	0.055	0.051	0.014	0.062	0.095	0.068
