Data	Iso Gantry	Iso Colimador	Iso Gantry e Colimador	Iso Mesa	G0C0T0	G90C0T0	G180C0T0	G0C270T0	G270C0T0	G0C90T0	G0C0T270	G0C0T90
2019-05-06	1.950	1.950	2.100	1.661	-0.642	-1.102	-0.965	-0.251	-0.653	-1.351	-1.465	-1.704
2019-05-08	1.232	1.232	1.416	1.201	-0.686	-1.102	0.366	-0.969	-0.379	-0.979	-1.326	-1.303
2019-07-15	1.272	1.272	1.660	1.089	-0.787	-0.800	0.629	-0.779	0.503	-1.030	-0.360	-0.920
2019-07-29	1.294	1.294	1.519	1.001	-0.583	-1.130	0.776	-0.547	0.742	-0.719	-0.406	-0.891
2019-08-07	1.157	1.157	1.545	0.895	-0.781	-0.662	0.432	-0.931	0.439	-1.161	-0.271	-0.890
2019-08-12	1.145	1.145	1.440	0.972	-0.465	-0.569	0.678	-0.611	0.382	-0.756	-0.551	-0.988
2019-08-14	1.225	1.225	1.469	0.900	-0.791	-1.373	0.429	-0.758	1.045	-0.997	-0.455	-0.889
2019-08-15	1.192	1.192	1.568	1.177	-0.454	-0.152	0.711	-0.627	0.224	-0.816	-0.912	-1.107
2019-08-16	1.135	1.135	1.325	1.253	-0.618	-0.545	0.508	-0.544	0.188	-0.813	-0.463	-1.173
2019-08-19	1.186	1.186	1.413	0.569	-0.474	-0.995	0.711	-0.446	0.942	-0.700	-0.257	-0.629
2019-08-20	1.082	1.082	1.521	1.477	-0.146	-0.975	0.938	-0.393	0.750	-0.578	-0.632	-1.231
2019-08-21	1.134	1.134	1.626	0.695	-0.624	-1.624	0.503	-0.829	1.186	-1.122	-0.866	-0.706
2019-08-22	1.207	1.207	1.506	0.705	-0.665	-0.517	0.489	-0.851	0.160	-1.004	-0.705	-0.852
2019-08-23	1.162	1.162	1.404	1.400	-0.433	-0.880	0.686	-0.516	0.607	-0.714	-0.700	-1.232
2019-08-26	1.163	1.163	1.518	0.743	-0.648	-0.904	0.482	-0.842	0.772	-1.032	-0.718	-0.848
2019-08-27	1.153	1.153	1.503	1.401	-0.441	-1.003	0.698	-0.596	0.626	-0.772	-0.922	-1.136
2019-09-02	1.027	1.027	1.440	0.918	-0.453	-0.556	0.559	-0.778	0.305	-0.876	-0.621	-0.959
2019-09-03	1.182	1.182	1.641	1.053	-0.632	-0.526	0.594	-0.780	0.111	-1.026	-0.749	-1.117
2019-09-04	1.070	1.070	1.624	1.035	-0.828	-0.657	0.566	-0.992	0.400	-1.125	-0.572	-1.050
2019-09-06	1.069	1.069	1.579	0.773	-0.868	-0.968	0.339	-1.227	0.650	-1.402	-0.765	-1.121
2019-09-09	1.127	1.127	1.545	1.372	-0.390	-0.353	0.734	-0.684	0.092	-0.784	-1.170	-1.166
2019-09-11	1.073	1.073	1.592	1.086	-0.440	-0.155	0.616	-0.869	-0.179	-0.976	-0.746	-1.110
2019-09-12	1.087	1.087	1.549	0.667	-0.698	-0.631	0.372	-1.034	0.452	-1.151	-0.468	-0.883
2019-09-13	1.430	1.430	1.630	0.723	-1.259	-0.945	0.297	0.000	-1.663	-1.862	-0.866	-0.747
2019-09-16	1.127	1.127	1.538	0.957	-0.556	-0.263	0.558	-0.975	-0.142	-0.838	-0.834	-0.995
2019-09-17	1.137	1.137	1.648	1.170	-0.599	-0.565	0.532	-0.909	0.283	-1.114	-0.927	-1.068
2019-09-18	1.240	1.240	1.706	1.355	-0.445	-0.826	0.749	-0.789	0.595	-0.933	-0.817	-1.247
2019-09-19	1.126	1.126	1.659	0.481	-1.079	-0.739	0.244	-1.470	-0.682	-1.631	-0.599	-0.918
2019-09-20	1.086	1.086	1.420	0.876	-0.773	0.449	0.343	-1.012	-0.524	-1.108	-0.790	-0.924
2019-09-23	1.079	1.079	1.665	1.099	-0.760	-0.383	0.318	-1.242	-0.127	-1.335	-1.336	-0.866
2019-09-24	1.224	1.224	1.610	1.190	-0.733	-0.289	0.457	-1.059	-0.396	-1.145	-0.984	-1.164
2019-09-25	1.123	1.123	1.566	0.942	-0.772	-0.743	0.321	-1.118	0.282	-1.244	-1.054	-1.084
2019-09-26	1.144	1.144	1.208	1.005	-0.962	-0.562	0.174	-0.936	-0.276	-1.027	-1.117	-0.897
2019-09-27	1.082	1.082	1.563	1.471	-0.650	-1.106	-0.405	-1.039	0.754	-1.106	-1.306	-0.902
2019-09-30	1.127	1.127	1.680	0.977	-0.510	-0.876	0.602	-1.033	0.397	-1.077	-1.150	-1.007
2019-10-01	1.171	1.171	1.450	1.362	-0.569	-0.654	0.562	-0.803	0.342	-0.888	-1.094	-1.175
2019-10-02	1.122	1.122	1.543	1.454	-0.549	-0.752	0.511	-0.839	0.355	-1.002	-1.105	-1.166
2019-10-03	1.107	1.107	1.534	1.317	-0.497	-0.547	0.569	-0.789	0.162	-0.965	-1.262	-1.170
2019-10-04	1.106	1.106	1.711	0.664	-0.641	-0.764	0.413	-1.143	0.444	-1.288	-0.845	-0.868
2019-10-07	1.484	1.484	1.695	1.206	-0.680	-0.793	0.783	-0.839	0.665	-0.911	-0.964	-1.005
2019-10-08	1.107	1.107	1.400	0.811	-0.840	-0.660	0.232	-1.127	0.346	-1.166	-0.907	-0.970
2019-10-09	1.077	1.077	1.623	0.554	-0.816	-0.446	0.324	-1.268	-0.204	-1.397	-0.809	-0.831
2019-10-10	1.159	1.159	1.526	0.942	-0.774	-0.400	0.268	-1.112	-0.168	-1.178	-0.872	-0.938
2019-10-11	1.413	1.413	1.546	1.531	-0.591	-0.337	0.772	-0.661	0.117	-0.760	-0.917	-1.243
2019-10-16	1.006	1.006	1.338	1.765	-0.426	-0.501	0.546	-0.611	0.106	-0.788	-1.289	-1.130
2019-10-17	1.235	1.235	1.377	1.650	-0.499	-0.313	0.681	-0.478	0.259	-0.652	-0.971	-1.329
2019-10-21	1.073	1.073	1.474	1.438	-0.582	-0.368	0.464	-0.849	0.097	-0.984	-1.127	-1.158
2019-10-22	1.078	1.078	1.577	1.408	-0.627	-0.511	0.437	-0.984	0.341	-1.139	-1.205	-1.082
2019-10-24	1.088	1.088	1.445	1.060	-0.652	-0.738	0.404	-0.906	0.357	-1.016	-0.839	-1.049
2019-10-25	0.866	0.866	1.201	1.783	-0.796	-0.832	0.655	-0.737	0.508	-0.750	-0.450	-1.454
2019-10-28	1.187	1.187	1.293	0.998	-0.798	-1.003	0.437	-0.888	0.658	-0.910	-0.628	-1.031
2019-11-01	1.043	1.043	1.393	0.270	-0.941	-0.530	0.076	-1.211	-0.348	-1.309	-1.194	0.000
2019-11-05	1.161	1.161	1.671	0.819	-0.798	-0.918	0.280	-1.172	0.454	-1.341	-0.756	-0.967
2019-11-06	1.254	1.254	1.330	1.278	-0.830	-0.764	0.383	-0.903	0.295	-0.925	-0.864	-1.177
2019-11-07	1.226	1.226	1.281	0.895	-0.778	-0.519	0.396	-0.771	0.177	-0.879	-0.734	-1.397
2019-11-08	1.264	1.264	1.543	1.421	-0.606	-0.567	0.599	-0.913	0.078	-0.902	-1.002	-1.169
2019-11-11	1.185	1.185	1.476	5.092	-0.859	-0.688	0.315	-1.152	0.261	-1.155	-1.462	3.549
2019-11-12	1.205	1.205	1.618	1.181	-0.780	-0.716	0.412	-1.053	0.233	-1.170	-0.890	-1.088
2019-11-13	1.167	1.167	1.533	1.013	-0.668	-0.251	0.487	-0.962	-0.282	-1.046	-1.081	-0.996
2019-11-14	1.113	1.113	1.323	0.893	-1.028	-0.653	0.223	-1.167	-0.345	-1.230	-0.731	-0.797
2019-11-18	1.108	1.108	1.493	0.690	-0.891	-1.017	0.380	-1.159	0.617	-1.280	-0.733	-0.927
2019-11-19	1.226	1.226	1.338	1.185	-1.121	-0.678	-0.248	-1.239	-0.415	-1.313	-1.385	-0.839
2019-11-21	1.144	1.144	1.311	1.540	-0.825	-0.999	0.310	-1.000	0.574	-0.942	-1.194	-1.246
2019-11-22	1.224	1.224	1.360	1.685	-0.923	-0.528	-0.402	-1.012	-0.142	-1.089	-1.529	-0.856
2019-11-25	1.063	1.063	1.509	1.073	-0.882	-0.625	0.163	-1.326	-0.404	-1.339	-1.270	-1.016
2019-11-26	1.238	1.238	1.567	0.862	-1.077	-0.635	-0.361	-1.384	-0.443	-1.463	-1.194	-0.883
2019-11-27	1.142	1.142	1.679	1.038	-0.616	-0.490	0.500	-1.130	-0.247	-1.179	-1.446	-0.964
2019-11-28	1.213	1.213	1.492	0.927	-0.830	-0.716	0.369	-1.112	-0.339	-1.041	-0.668	-0.856
2019-11-29	1.179	1.179	1.368	0.680	-1.156	-0.784	-0.139	-1.354	-0.490	-1.407	-0.695	-1.053
2019-12-02	1.145	1.145	1.242	0.975	-0.997	-0.559	0.395	-1.040	-0.231	-1.080	-0.787	-1.071
2019-12-03	1.279	1.279	1.769	0.658	-1.102	-0.643	0.109	-1.398	-0.544	-1.566	-0.780	-0.868
2019-12-04	1.274	1.274	1.777	1.144	-0.585	-0.503	0.684	-1.021	0.149	-1.082	-1.015	-1.009
2019-12-06	1.186	1.186	1.433	1.540	-0.628	-0.342	0.524	-0.766	0.159	-0.867	-0.929	-1.180
2019-12-09	1.253	1.253	1.521	1.456	-0.537	-0.747	0.745	-0.621	0.643	-0.759	-0.554	-1.124
