Data	Iso Gantry	Iso Colimador	Iso Gantry e Colimador	Iso Mesa	G0C0T0	G90C0T0	G180C0T0	G0C270T0	G270C0T0	G0C90T0	G0C0T270	G0C0T90
2020-06-25	1.217	1.217	1.417	1.325	-0.409	-0.520	0.701	-0.646	0.151	-0.588	-0.977	-1.286
2020-07-01	1.221	1.221	1.563	1.252	-0.556	-1.608	0.900	-0.623	1.050	-0.589	-0.730	-1.396
2020-07-02	1.284	1.284	1.632	1.432	-0.436	-0.590	0.767	-0.688	0.173	-0.698	-0.920	-1.485
2020-07-03	1.182	1.182	1.661	1.054	-0.655	-0.594	0.520	-1.022	0.139	-1.117	-1.100	-1.211
2020-07-06	1.303	1.303	1.396	0.614	-0.744	-0.328	0.413	-0.743	-0.275	-0.855	-0.519	-0.720
2020-07-07	1.144	1.144	1.406	0.802	-0.517	-0.437	0.686	-0.662	0.390	-0.676	-0.162	-0.665
2020-07-08	1.048	1.048	1.202	0.567	-0.772	-0.402	0.343	-0.892	-0.358	-0.930	0.000	-0.555
2020-07-10	1.077	1.077	1.648	0.843	-0.540	-0.202	0.526	-1.111	-0.104	-1.115	-0.959	-0.532
2020-07-16	1.121	1.121	1.349	0.479	-1.069	-0.588	0.062	-1.279	-0.235	-1.209	-0.797	-0.723
2020-07-17	1.072	1.072	1.255	1.093	-0.603	-0.250	0.455	-0.768	0.083	-0.783	-0.878	-0.786
2020-07-20	1.210	1.210	1.271	0.739	-0.604	-0.322	0.584	-0.617	0.090	-0.659	-0.773	-0.854
2020-07-21	1.075	1.075	1.570	2.926	-0.573	0.000	0.502	-0.975	-0.399	-0.959	-1.909	0.866
2020-07-22	1.150	1.150	1.440	1.093	-0.474	-0.669	0.640	-0.796	0.451	-0.738	-0.661	-0.919
2020-07-23	1.074	1.074	1.540	0.698	-0.536	-0.667	0.537	-1.002	0.405	-0.915	-0.806	0.000
2020-07-24	0.625	0.625	0.802	0.693	-0.711	-0.540	-0.603	-0.604	-0.573	-0.474	-0.536	-0.660
2020-07-28	1.132	1.132	1.631	0.999	-0.388	-1.164	0.737	-0.823	0.867	-0.892	-0.682	-0.910
2020-07-30	1.088	1.088	1.591	0.535	-0.707	-0.366	0.378	-0.965	-0.136	-1.196	-0.406	-0.684
2020-07-31	1.248	1.248	1.648	0.696	-0.766	-0.551	0.474	-1.053	0.423	-1.167	-0.673	-0.709
2020-08-01	1.094	1.094	1.641	0.906	-0.563	-0.532	0.524	-1.117	0.171	-1.064	-0.527	-1.063
2020-08-03	1.094	1.094	1.641	0.906	-0.563	-0.532	0.524	-1.117	0.171	-1.064	-0.527	-1.063
2020-08-04	1.163	1.163	1.528	0.956	-0.649	-0.473	0.509	-0.984	0.289	-0.996	-0.184	-0.809
2020-08-05	1.150	1.150	1.428	0.802	-0.757	-0.555	0.391	-1.011	0.211	-1.068	-0.458	-0.709
2020-08-06	1.193	1.193	1.520	1.043	-0.624	-0.385	0.568	-0.850	0.226	-0.936	-0.420	-0.831
2020-08-07	1.211	1.211	1.603	1.167	-0.713	-0.315	0.422	-0.937	-0.064	-1.066	-0.319	-1.002
2020-08-10	1.187	1.187	1.337	1.218	-0.401	-0.238	0.761	-0.563	0.317	-0.568	-0.474	-0.999
2020-08-11	1.143	1.143	1.829	0.964	-0.570	-0.159	0.640	-0.974	-0.226	-1.170	-0.612	-0.920
2020-08-12	1.180	1.180	1.753	1.506	-0.408	0.118	0.899	-0.731	0.174	-0.837	-0.384	-1.064
2020-08-13	1.166	1.166	1.612	1.229	-0.581	-0.272	0.578	-0.872	0.247	-1.033	-1.065	-0.944
2020-08-14	1.251	1.251	1.577	1.456	-0.465	0.187	0.787	-0.781	-0.200	-0.749	-0.583	-1.062
2020-08-17	1.253	1.253	1.825	1.516	-0.537	-0.605	1.062	-0.727	0.335	-0.754	0.314	-1.070
2020-08-18	1.138	1.138	1.624	1.091	-0.142	-0.586	0.981	-0.553	0.418	-0.628	-0.535	-0.970
2020-08-19	1.160	1.160	1.242	0.870	-0.491	-0.408	0.660	-0.418	0.303	-0.521	-0.419	-0.815
2020-08-20	1.126	1.126	1.371	1.174	-0.534	-0.318	0.585	-0.770	0.224	-0.770	-0.598	-0.917
2020-08-21	1.083	1.083	1.657	1.302	-0.757	-0.542	0.744	-0.844	0.291	-0.911	-0.445	-1.100
2020-08-24	1.091	1.091	1.367	1.555	-0.135	-0.709	1.061	-0.218	0.507	-0.316	-0.633	-1.170
2020-08-25	1.171	1.171	1.500	1.511	-0.525	-0.525	0.631	-0.805	0.385	-0.864	-1.091	-1.035
2020-08-26	1.197	1.197	1.605	0.711	-0.867	-0.691	0.291	-1.151	0.252	-1.283	-0.743	-0.720
