Data	Iso Gantry	Iso Colimador	Iso Gantry e Colimador	Iso Mesa	G0C0T0	G90C0T0	G180C0T0	G0C270T0	G270C0T0	G0C90T0	G0C180T0	G0C0T270	G0C0T90
2020-09-01	1.107	0.565	1.554	0.811	-0.464	-0.086	0.643	-0.817	-0.063	-0.852	0.000	-0.849	-0.849
2020-09-02	1.043	0.199	1.219	0.827	-0.659	-0.398	0.378	-0.791	0.174	-0.825	0.000	-1.005	-1.005
2020-09-11	1.065	0.582	1.647	0.618	-0.236	-0.488	1.032	-0.356	0.341	-0.509	-0.597	0.282	-0.569
2020-09-14	1.225	0.529	1.685	0.813	-0.413	-0.140	0.798	-0.802	-0.194	-0.797	-0.681	-0.744	-0.345
2020-09-16	1.179	0.518	1.672	0.164	-0.417	-0.791	0.762	-0.896	0.451	-0.879	0.000	-0.552	-0.552
2020-09-17	0.858	0.409	1.245	0.441	-0.414	-0.796	0.443	-0.732	0.655	-0.786	0.000	-0.102	-0.102
2020-09-18	1.204	0.235	1.213	0.593	-0.455	-0.536	0.740	-0.448	0.375	-0.410	0.000	-0.547	-0.547
2020-09-21	1.108	0.511	1.454	0.343	-0.334	-0.601	0.771	-0.627	0.488	-0.646	0.000	-0.310	-0.310
2020-09-22	1.162	0.441	1.586	0.633	-0.420	0.294	0.734	-0.764	-0.451	-0.851	0.000	-0.810	-0.810
2020-09-22	1.157	0.444	1.595	0.612	-0.590	-0.719	0.558	-1.005	0.443	-1.031	0.000	-0.425	-0.425
2020-09-23	1.258	0.533	1.580	0.528	-0.349	0.402	0.889	-0.670	-0.717	-0.677	-0.326	-0.673	-0.673
2020-09-23	1.059	0.207	1.121	0.499	-1.065	-0.608	0.310	-1.123	0.366	-1.109	0.000	-0.590	-0.590
2020-09-24	1.193	0.386	1.532	0.577	-0.516	0.233	0.674	-0.832	-0.271	-0.824	0.000	-0.377	-0.377
2020-09-25	1.077	0.403	1.433	0.278	-0.443	0.259	0.927	-0.493	-0.468	-0.504	0.000	-0.288	-0.288
2020-09-28	1.138	0.161	1.183	0.466	-0.494	-0.520	0.791	-0.386	0.471	-0.385	0.000	-0.776	-0.776
2020-09-30	1.085	0.213	1.194	0.714	-0.179	-0.424	0.905	-0.258	0.545	-0.279	0.000	-0.820	-0.820
2020-10-02	1.134	0.385	1.485	0.558	-0.304	0.061	0.829	-0.650	-0.357	-0.556	0.000	-0.699	-0.699
2020-10-05	1.156	0.392	1.345	0.386	-0.286	0.146	0.866	-0.465	0.405	-0.431	0.000	-0.449	-0.449
2020-10-06	1.080	0.540	1.594	0.158	-0.364	0.470	0.792	-0.795	-0.636	-0.719	0.000	-0.466	-0.466
2020-10-07	1.141	0.262	1.393	0.465	-0.378	-0.134	0.755	-0.635	-0.247	-0.550	0.000	-0.493	-0.493
2020-10-08	1.045	0.424	1.413	0.720	-0.316	-0.028	0.703	-0.639	-0.333	-0.709	0.000	-0.356	-0.356
2020-10-09	1.053	0.202	1.084	0.775	-0.469	-0.267	0.583	-0.489	0.445	-0.386	0.000	-0.557	-0.557
2020-10-13	1.119	0.356	1.466	0.362	-0.734	0.396	0.373	-1.087	-0.799	-1.052	0.000	-0.423	-0.423
2020-10-14	1.073	0.423	1.525	0.210	-0.219	-0.279	0.933	-0.487	0.174	-0.550	0.000	-0.409	-0.409
2020-10-26	1.472	0.494	1.516	0.944	-0.708	-0.964	0.856	-0.348	0.449	-0.628	-0.359	-0.327	-0.976
2020-10-26	1.859	0.470	1.920	0.333	-0.835	-1.122	0.673	-0.621	0.322	-0.775	0.000	-1.098	-1.098
2020-10-26	1.843	0.501	1.843	0.198	-0.884	-1.110	0.566	-0.574	0.361	-0.645	0.000	-1.075	-1.075
2020-10-26	1.388	0.319	1.626	0.988	-0.395	-1.150	0.771	-0.525	0.456	-0.706	0.000	-1.011	-1.011
2020-10-27	1.396	0.341	1.684	0.721	-0.590	-0.778	1.079	-0.570	0.586	-0.615	0.000	-1.173	-1.173
2020-10-28	1.201	0.565	1.524	1.174	-0.459	-0.923	0.688	-0.615	0.408	-0.707	-0.592	0.092	-0.886
2020-10-28	1.201	0.565	1.524	1.174	-0.459	-0.923	0.688	-0.615	0.408	-0.707	-0.592	0.092	-0.886
2020-10-28	1.414	0.491	1.708	0.550	-0.309	-0.970	0.855	-0.648	0.352	-0.710	-0.527	-0.820	-0.820
2020-10-28	1.417	0.376	1.644	0.830	-0.246	-0.323	0.970	-0.505	-0.439	-0.579	0.000	-0.975	-0.975
2020-10-28	1.440	0.712	1.443	1.096	-0.435	0.332	-0.319	-0.264	0.245	-0.131	-0.264	0.764	0.764
2020-10-29	1.068	0.564	1.626	0.872	-0.293	-1.397	1.043	-0.345	0.990	-0.563	-0.519	-0.131	-0.727
2020-10-30	1.259	0.407	1.650	1.619	0.635	-0.715	-0.829	-0.671	0.268	-0.796	-0.520	-1.324	-0.772
2020-10-30	1.155	0.494	1.643	1.028	-0.666	-0.647	0.435	-1.011	0.060	-1.155	-0.865	-0.208	-0.915
2020-11-03	1.100	0.274	1.365	1.675	0.230	0.567	1.271	0.149	0.828	-0.053	-0.044	0.449	-1.131
2020-11-04	1.188	0.525	1.706	0.765	-0.614	-0.241	0.547	-0.821	-0.287	-1.095	-0.766	-0.518	-0.543
2020-11-05	1.201	0.351	1.201	1.285	-0.306	-0.468	0.759	-0.294	0.695	-0.308	-0.255	-0.497	-0.929
2020-11-06	1.260	0.242	1.260	1.115	-0.730	-0.310	0.445	-0.613	-0.276	-0.644	-0.578	-0.709	-0.690
2020-11-09	1.223	0.161	1.271	1.560	0.289	0.496	1.190	0.165	0.684	0.170	0.129	-0.614	-0.987
2020-11-10	1.288	0.434	1.711	0.961	-0.291	-0.277	0.913	-0.504	0.283	-0.724	-0.582	-0.215	-0.765
2020-11-11	1.112	0.450	1.561	1.392	0.100	-0.588	1.150	-0.143	0.620	-0.240	-0.316	0.456	-0.924
2020-11-12	1.051	0.451	1.404	1.453	0.241	0.565	1.248	0.141	0.716	-0.139	-0.093	0.416	-1.007
2020-11-13	1.165	0.369	1.505	1.378	-0.262	0.465	1.213	-0.349	0.530	-0.467	-0.375	0.354	-0.962
2020-11-13	1.179	0.399	1.552	1.287	-0.273	-0.512	0.957	-0.290	0.353	-0.549	-0.288	-0.316	-0.945
2020-11-16	1.250	0.338	1.589	1.278	-0.152	-0.402	1.072	-0.335	0.507	-0.483	-0.351	-0.397	-0.933
2020-11-17	1.200	0.364	1.527	0.938	0.043	-0.437	1.164	-0.117	0.715	-0.238	-0.362	0.252	-0.681
2020-11-18	1.115	0.444	1.553	1.227	-0.111	-0.695	1.139	-0.235	0.551	-0.332	-0.363	0.296	-0.920
2020-11-19	1.180	0.303	1.465	0.875	-0.199	-0.326	0.978	-0.332	0.442	-0.459	-0.470	0.120	-0.676
2020-11-20	1.093	0.506	1.410	0.936	-0.467	-0.562	0.618	-0.513	0.349	-0.729	-0.617	-0.591	-0.624
2020-11-23	1.224	0.310	1.424	1.478	0.243	0.712	1.460	0.214	0.787	0.041	0.049	0.459	-1.016
2020-11-24	1.151	0.370	1.464	1.098	0.133	-0.584	1.139	-0.165	0.591	-0.278	-0.171	-0.455	-0.921
2020-11-24	1.234	0.483	1.385	0.555	-0.457	-0.501	0.718	-0.381	0.398	-0.662	0.000	-0.603	-0.603
2020-11-25	1.146	0.234	1.154	1.180	-0.552	-0.513	0.594	-0.408	0.422	-0.539	-0.541	-0.517	-0.688
2020-11-26	1.286	0.156	1.306	1.498	0.337	-0.709	1.314	0.309	0.781	0.345	0.393	-0.520	-0.923
2020-11-26	1.200	0.547	1.740	0.903	-0.621	-0.262	0.560	-1.048	-0.099	-1.168	-0.884	-0.682	-0.695
