Leaf	Picket_1	Picket_2	Picket_3	Picket_4	Picket_5	Picket_6	Picket_7	Picket_8	Picket_9
21	0.018	0.045	0.009	0.013	0.055	0.029	0.092	0.092	0.001
22	0.009	0.005	0.015	0.033	0.007	0.010	0.035	0.012	0.035
23	0.050	0.042	0.011	0.013	0.010	0.005	0.027	0.027	0.066
24	0.037	0.051	0.021	0.042	0.007	0.042	0.039	0.084	0.026
25	0.069	0.044	0.015	0.026	0.039	0.000	0.010	0.042	0.057
26	0.021	0.022	0.001	0.036	0.034	0.043	0.040	0.001	0.028
27	0.079	0.017	0.074	0.031	0.017	0.021	0.035	0.012	0.028
28	0.024	0.006	0.027	0.000	0.028	0.014	0.019	0.020	0.035
29	0.019	0.050	0.045	0.021	0.036	0.023	0.007	0.007	0.003
30	0.017	0.005	0.017	0.012	0.003	0.043	0.002	0.005	0.040
31	0.104	0.021	0.022	0.013	0.050	0.048	0.060	0.019	0.052
32	0.043	0.022	0.007	0.001	0.003	0.012	0.008	0.021	0.030
33	0.005	0.037	0.019	0.018	0.015	0.022	0.002	0.019	0.045
34	0.052	0.079	0.027	0.026	0.027	0.002	0.035	0.024	0.082
35	0.062	0.037	0.019	0.015	0.038	0.064	0.057	0.110	0.073
36	0.047	0.032	0.007	0.011	0.001	0.001	0.029	0.060	0.125
37	0.056	0.052	0.059	0.036	0.030	0.010	0.008	0.019	0.047
38	0.057	0.023	0.008	0.016	0.005	0.023	0.005	0.016	0.006
39	0.051	0.044	0.042	0.033	0.013	0.032	0.045	0.067	0.007
40	0.079	0.020	0.089	0.079	0.008	0.035	0.018	0.015	0.045
41	0.073	0.041	0.056	0.039	0.036	0.002	0.015	0.020	0.060
42	0.027	0.009	0.048	0.001	0.028	0.001	0.021	0.002	0.056
43	0.050	0.058	0.056	0.057	0.040	0.017	0.049	0.011	0.011
44	0.014	0.023	0.011	0.008	0.035	0.028	0.072	0.017	0.053
45	0.022	0.000	0.009	0.011	0.051	0.023	0.053	0.053	0.021
46	0.016	0.018	0.001	0.006	0.007	0.035	0.035	0.015	0.084
47	0.025	0.022	0.020	0.019	0.000	0.014	0.041	0.048	0.013
48	0.040	0.011	0.008	0.018	0.015	0.024	0.034	0.062	0.060
49	0.038	0.028	0.011	0.020	0.016	0.017	0.027	0.011	0.094
50	0.025	0.021	0.001	0.030	0.005	0.005	0.010	0.026	0.024
51	0.031	0.022	0.009	0.007	0.017	0.018	0.028	0.026	0.035
52	0.025	0.008	0.012	0.032	0.006	0.020	0.001	0.015	0.019
53	0.040	0.049	0.032	0.024	0.031	0.010	0.025	0.052	0.048
54	0.008	0.013	0.014	0.008	0.023	0.026	0.027	0.005	0.060
55	0.030	0.028	0.028	0.046	0.016	0.015	0.015	0.006	0.006
56	0.048	0.020	0.015	0.025	0.002	0.020	0.040	0.071	0.012
57	0.008	0.004	0.011	0.005	0.012	0.013	0.020	0.058	0.019
58	0.054	0.012	0.005	0.010	0.025	0.001	0.023	0.026	0.102
59	0.055	0.057	0.053	0.041	0.004	0.004	0.049	0.049	0.100
60	0.025	0.038	0.030	0.011	0.041	0.024	0.044	0.053	0.077
