Leaf	Picket 1	Picket 2	Picket 3	Picket 4	Picket 5	Picket 6	Picket 7	Picket 8	Picket 9
21	0.009	0.037	0.013	0.044	0.016	0.059	0.085	0.084	0.035
22	0.010	0.010	0.003	0.031	0.001	0.050	0.018	0.061	0.034
23	0.057	0.033	0.000	0.007	0.001	0.017	0.042	0.033	0.079
24	0.069	0.035	0.027	0.052	0.004	0.002	0.030	0.049	0.043
25	0.067	0.035	0.011	0.018	0.028	0.007	0.015	0.013	0.015
26	0.017	0.047	0.006	0.029	0.027	0.036	0.007	0.049	0.026
27	0.048	0.002	0.045	0.023	0.016	0.001	0.046	0.018	0.034
28	0.028	0.007	0.014	0.045	0.048	0.038	0.070	0.012	0.011
29	0.031	0.041	0.039	0.003	0.032	0.013	0.040	0.011	0.021
30	0.014	0.003	0.004	0.009	0.004	0.008	0.028	0.004	0.025
31	0.073	0.053	0.019	0.024	0.036	0.017	0.014	0.041	0.026
32	0.049	0.020	0.025	0.003	0.001	0.017	0.050	0.020	0.019
33	0.023	0.007	0.003	0.011	0.025	0.008	0.018	0.015	0.021
34	0.066	0.007	0.014	0.009	0.000	0.007	0.044	0.000	0.029
35	0.069	0.037	0.041	0.039	0.002	0.038	0.034	0.079	0.084
36	0.022	0.041	0.014	0.019	0.013	0.021	0.029	0.037	0.009
37	0.054	0.062	0.064	0.045	0.037	0.040	0.034	0.050	0.048
38	0.035	0.021	0.012	0.044	0.016	0.019	0.064	0.013	0.001
39	0.049	0.050	0.026	0.023	0.003	0.028	0.029	0.041	0.013
40	0.054	0.046	0.035	0.041	0.016	0.017	0.004	0.054	0.020
41	0.094	0.061	0.087	0.088	0.039	0.006	0.011	0.032	0.009
42	0.013	0.035	0.033	0.037	0.017	0.042	0.061	0.004	0.080
43	0.040	0.043	0.027	0.030	0.043	0.013	0.012	0.033	0.061
44	0.008	0.012	0.038	0.007	0.011	0.038	0.001	0.008	0.032
45	0.049	0.010	0.017	0.020	0.003	0.010	0.034	0.074	0.017
46	0.028	0.018	0.001	0.042	0.006	0.044	0.010	0.026	0.012
47	0.031	0.015	0.017	0.007	0.009	0.005	0.026	0.016	0.005
48	0.025	0.002	0.008	0.024	0.016	0.002	0.012	0.023	0.022
49	0.033	0.045	0.045	0.028	0.010	0.014	0.000	0.026	0.014
50	0.009	0.016	0.032	0.021	0.032	0.012	0.017	0.005	0.030
51	0.037	0.008	0.016	0.005	0.007	0.017	0.003	0.004	0.035
52	0.014	0.010	0.008	0.002	0.004	0.005	0.020	0.004	0.014
53	0.031	0.025	0.024	0.020	0.048	0.002	0.040	0.036	0.002
54	0.001	0.008	0.025	0.001	0.016	0.032	0.028	0.021	0.004
55	0.022	0.029	0.011	0.005	0.028	0.004	0.008	0.019	0.033
56	0.050	0.043	0.024	0.025	0.006	0.029	0.071	0.084	0.034
57	0.007	0.000	0.011	0.004	0.017	0.035	0.049	0.057	0.003
58	0.043	0.003	0.019	0.009	0.023	0.030	0.005	0.041	0.004
59	0.046	0.058	0.054	0.038	0.008	0.007	0.058	0.046	0.011
60	0.026	0.023	0.038	0.015	0.031	0.021	0.061	0.027	0.026
