Leaf	Picket 1	Picket 2	Picket 3	Picket 4	Picket 5	Picket 6	Picket 7	Picket 8	Picket 9
20	0.155	-0.053	-0.017	-0.107	0.016	0.020	0.033	0.084	0.051
21	-0.023	-0.021	-0.014	-0.088	0.023	0.005	0.032	0.040	0.059
22	-0.051	-0.049	-0.015	-0.121	0.005	0.014	0.041	0.048	0.034
23	-0.062	-0.063	-0.052	-0.111	-0.051	-0.005	0.014	0.051	0.044
24	-0.084	0.014	0.014	-0.056	-0.001	0.028	0.021	0.046	0.006
25	-0.032	0.014	-0.044	-0.058	0.024	-0.009	-0.003	-0.005	0.017
26	-0.058	0.012	0.002	-0.067	0.035	0.026	0.015	0.020	0.033
27	-0.038	-0.020	-0.012	-0.065	-0.013	-0.011	0.020	0.027	0.026
28	-0.029	-0.049	-0.067	-0.123	-0.050	-0.045	-0.029	-0.026	-0.027
29	-0.058	0.004	-0.010	-0.065	-0.030	-0.028	-0.045	-0.040	-0.038
30	-0.048	-0.004	0.003	-0.085	-0.010	-0.026	-0.002	-0.037	-0.021
31	-0.005	0.039	-0.004	-0.071	-0.018	-0.054	-0.011	-0.025	-0.010
32	0.035	0.051	0.030	-0.112	0.020	-0.025	0.007	0.026	0.025
33	0.020	0.018	0.013	0.936	0.055	-0.066	-0.056	-0.039	-0.030
34	0.011	0.060	0.042	0.593	0.036	-0.039	-0.059	-0.096	-0.063
35	0.085	0.021	0.013	-0.119	-0.017	-0.077	-0.040	-0.079	-0.052
36	0.027	0.038	0.056	-0.016	0.017	-0.063	-0.016	-0.018	-0.037
37	0.021	0.003	-0.001	-0.079	-0.043	-0.110	-0.086	-0.071	-0.055
38	0.012	0.013	0.043	-0.027	-0.024	0.237	0.090	-0.071	-0.024
39	0.032	0.054	0.077	-0.001	0.011	0.638	0.153	0.003	0.011
40	0.085	0.048	0.052	-0.026	0.020	-0.052	-0.022	-0.007	-0.060
41	0.074	0.020	0.026	-0.056	0.000	-0.053	-0.041	0.033	-0.062
42	0.050	0.027	0.041	-0.051	0.017	-0.054	-0.051	0.011	0.007
43	0.039	-0.015	-0.012	0.361	-0.016	-0.083	-0.110	-0.052	-0.017
44	0.013	0.036	0.049	0.561	0.044	0.015	0.048	0.012	0.035
45	0.063	0.014	0.007	-0.066	-0.016	-0.016	0.007	0.008	0.002
46	0.015	0.020	0.016	-0.067	0.012	-0.033	0.005	-0.012	0.013
47	0.050	0.031	0.015	-0.064	0.019	-0.022	0.002	0.005	-0.032
48	0.041	0.018	0.015	-0.061	0.021	0.005	0.032	0.004	-0.029
49	0.014	-0.012	-0.006	-0.056	0.010	0.008	0.026	0.043	0.061
50	-0.002	-0.013	-0.000	-0.043	-0.009	-0.024	0.012	0.007	0.018
51	-0.017	-0.041	-0.025	-0.056	-0.045	-0.050	0.007	-0.018	-0.026
52	-0.032	-0.017	-0.021	-0.046	0.007	-0.004	0.013	-0.006	0.009
53	-0.020	-0.005	-0.001	-0.091	0.028	-0.009	-0.028	0.021	0.018
54	-0.005	-0.037	-0.034	-0.078	0.008	0.005	0.040	0.028	0.080
55	-0.062	-0.011	-0.005	-0.040	0.037	0.030	0.058	0.102	0.032
56	-0.033	0.009	-0.011	-0.052	0.023	-0.006	0.037	0.058	0.032
57	-0.019	-0.055	-0.053	-0.099	0.010	-0.024	0.014	0.044	0.034
58	-0.063	-0.025	-0.038	-0.052	0.064	0.022	0.068	0.097	0.071
