Leaf	Picket_1	Picket_2	Picket_3	Picket_4	Picket_5	Picket_6	Picket_7	Picket_8	Picket_9
 1	0.150	0.135	0.032	0.065	-0.079	0.069	0.065	0.187	0.132
 2	0.117	0.077	0.027	-0.020	-0.055	0.026	-0.107	-0.087	-0.078
 3	0.107	0.113	0.033	0.154	0.154	0.045	0.033	0.083	-0.046
 4	-0.068	-0.047	-0.050	-0.067	-0.062	-0.089	-0.033	-0.116	0.092
 5	-0.011	0.004	0.003	0.022	0.035	-0.011	-0.041	-0.054	-0.056
 6	0.033	0.069	0.050	0.029	0.050	0.020	-0.031	-0.072	-0.084
 7	-0.147	-0.143	-0.035	-0.139	-0.052	-0.082	-0.052	-0.032	0.055
 8	-0.014	0.041	0.045	0.038	0.074	0.127	0.106	0.117	0.000
 9	0.101	0.057	-0.002	-0.044	-0.056	-0.047	-0.032	-0.166	-0.100
10	-0.063	-0.071	-0.058	-0.053	-0.033	-0.037	-0.057	-0.039	-0.106
11	-0.071	-0.115	-0.113	-0.080	-0.006	-0.036	-0.020	-0.056	0.012
12	-0.041	0.039	0.061	0.041	0.089	0.013	0.033	0.008	0.010
13	-0.085	-0.135	-0.114	-0.120	-0.073	-0.071	-0.006	0.073	-0.029
14	0.025	-0.002	0.069	0.052	0.033	0.022	0.084	0.132	0.041
15	-0.055	-0.038	-0.019	0.053	-0.016	0.023	0.076	0.064	0.020
16	-0.010	-0.023	-0.076	-0.043	-0.084	-0.034	-0.070	-0.075	0.118
17	0.021	0.043	0.079	0.016	-0.012	0.040	-0.025	-0.012	-0.083
18	-0.114	-0.066	-0.029	-0.105	-0.111	-0.053	-0.060	-0.089	-0.002
19	-0.037	-0.071	-0.019	-0.068	-0.063	-0.105	-0.092	-0.072	-0.124
20	0.011	-0.024	0.026	0.050	-0.019	-0.035	0.063	0.085	-0.024
21	-0.017	0.052	0.068	0.057	0.083	0.085	0.118	0.125	0.101
22	-0.136	-0.092	-0.115	-0.040	-0.050	-0.053	-0.085	-0.081	0.003
23	-0.038	-0.033	-0.004	0.012	0.055	0.050	0.078	0.054	-0.032
24	-0.015	-0.094	0.012	0.039	0.049	0.005	0.076	0.047	0.241
25	-0.065	-0.038	-0.006	-0.007	0.045	-0.037	-0.007	-0.019	0.080
26	0.064	-0.045	-0.068	0.033	-0.030	-0.046	-0.026	-0.013	-0.009
27	0.009	0.014	0.009	0.069	0.083	0.054	0.104	0.105	0.126
28	0.180	0.148	0.135	0.102	0.122	0.107	0.033	0.018	-0.094
29	0.142	0.110	0.102	0.071	0.144	0.119	0.106	0.057	0.119
30	0.093	0.104	0.113	0.113	0.076	0.081	0.095	0.080	-0.017
31	0.043	0.051	0.076	0.055	0.058	0.098	-0.005	-0.025	0.049
32	0.001	-0.003	-0.012	0.049	-0.024	0.004	-0.002	-0.052	-0.089
33	0.048	0.118	0.040	-0.019	0.012	0.005	0.019	0.007	0.042
34	0.086	0.089	0.094	0.040	0.091	0.077	0.027	0.038	-0.039
35	-0.002	0.025	-0.003	0.032	0.016	0.012	0.028	0.064	0.065
36	0.024	-0.010	-0.007	-0.038	-0.004	0.010	-0.040	-0.008	-0.135
37	-0.094	-0.120	-0.145	-0.129	-0.082	-0.090	-0.070	-0.021	0.015
38	0.005	0.029	-0.029	-0.104	-0.178	-0.105	-0.156	-0.135	-0.056
39	-0.079	-0.055	-0.050	-0.046	-0.109	-0.096	-0.108	-0.138	-0.055
40	-0.023	-0.025	-0.055	-0.004	-0.001	-0.002	0.044	0.082	-0.003
dist2cax	81.931	61.755	41.479	21.318	1.158	-19.131	-39.269	-59.518	-79.842
