Leaf	Picket_1	Picket_2	Picket_3	Picket_4	Picket_5	Picket_6	Picket_7	Picket_8	Picket_9
 1	0.178	0.147	0.086	0.104	0.011	0.034	0.081	0.124	0.142
 2	0.121	0.079	0.022	0.004	0.018	0.008	0.121	0.101	0.022
 3	0.096	0.110	0.045	0.109	0.158	0.071	0.023	0.005	0.048
 4	0.037	0.083	0.092	0.156	0.114	0.093	0.070	0.116	0.055
 5	0.010	0.004	0.007	0.005	0.050	0.057	0.019	0.041	0.100
 6	0.044	0.033	0.030	0.064	0.011	0.007	0.008	0.039	0.071
 7	0.044	0.107	0.053	0.073	0.042	0.016	0.065	0.034	0.031
 8	0.012	0.036	0.028	0.027	0.087	0.118	0.123	0.110	0.000
 9	0.038	0.042	0.037	0.002	0.002	0.043	0.032	0.053	0.084
10	0.085	0.041	0.026	0.026	0.030	0.018	0.009	0.026	0.086
11	0.079	0.120	0.087	0.093	0.129	0.043	0.024	0.114	0.016
12	0.028	0.018	0.004	0.027	0.077	0.043	0.045	0.014	0.083
13	0.081	0.101	0.096	0.091	0.044	0.020	0.008	0.111	0.030
14	0.007	0.020	0.065	0.016	0.032	0.021	0.068	0.124	0.093
15	0.054	0.034	0.066	0.003	0.045	0.010	0.033	0.080	0.005
16	0.053	0.013	0.025	0.023	0.062	0.017	0.005	0.028	0.105
17	0.003	0.025	0.048	0.009	0.050	0.013	0.020	0.031	0.119
18	0.120	0.058	0.026	0.069	0.073	0.052	0.075	0.062	0.016
19	0.050	0.082	0.067	0.009	0.046	0.109	0.093	0.096	0.123
20	0.081	0.044	0.015	0.052	0.005	0.001	0.085	0.080	0.041
21	0.023	0.012	0.083	0.096	0.111	0.095	0.115	0.159	0.129
22	0.057	0.039	0.060	0.126	0.075	0.090	0.155	0.142	0.011
23	0.039	0.023	0.043	0.047	0.038	0.038	0.081	0.076	0.008
24	0.048	0.066	0.022	0.028	0.039	0.034	0.042	0.039	0.193
25	0.053	0.003	0.045	0.008	0.025	0.006	0.017	0.002	0.042
26	0.041	0.042	0.024	0.048	0.002	0.093	0.015	0.069	0.059
27	0.006	0.044	0.012	0.064	0.111	0.066	0.130	0.131	0.120
28	0.193	0.160	0.143	0.085	0.097	0.098	0.061	0.060	0.078
29	0.100	0.081	0.068	0.062	0.115	0.102	0.047	0.081	0.123
30	0.097	0.086	0.071	0.057	0.091	0.082	0.027	0.083	0.022
31	0.057	0.031	0.065	0.027	0.044	0.070	0.009	0.034	0.073
32	0.018	0.011	0.028	0.027	0.026	0.016	0.018	0.020	0.082
33	0.078	0.085	0.085	0.058	0.037	0.007	0.034	0.003	0.012
34	0.058	0.049	0.078	0.022	0.037	0.015	0.044	0.022	0.041
35	0.032	0.009	0.030	0.049	0.016	0.012	0.089	0.062	0.058
36	0.030	0.007	0.021	0.014	0.029	0.026	0.007	0.072	0.108
37	0.081	0.112	0.092	0.091	0.039	0.052	0.076	0.088	0.017
38	0.107	0.050	0.058	0.096	0.120	0.099	0.186	0.194	0.049
39	0.102	0.084	0.110	0.068	0.098	0.058	0.101	0.084	0.114
40	0.028	0.013	0.011	0.010	0.012	0.028	0.052	0.090	0.028
dist2cax	81.747	61.595	41.287	21.131	0.938	-19.269	-39.380	-59.660	-79.949
