Leaf	Picket_1	Picket_2	Picket_3	Picket_4	Picket_5	Picket_6	Picket_7	Picket_8	Picket_9
 1	0.209	0.173	0.125	0.156	0.081	0.211	0.144	0.223	0.062
 2	0.125	0.026	0.003	0.061	0.053	0.027	0.034	0.068	0.141
 3	0.125	0.050	0.001	0.091	0.010	0.852	0.096	0.055	0.023
 4	0.014	0.053	0.006	0.038	0.057	0.052	0.014	0.010	0.021
 5	0.029	0.055	0.000	0.052	0.045	0.083	0.049	0.062	0.135
 6	0.022	0.038	0.028	0.042	0.023	0.066	0.459	0.066	0.092
 7	0.146	0.355	0.133	0.139	0.183	0.052	0.130	0.100	0.017
 8	0.059	0.039	0.021	0.026	0.050	0.173	0.071	0.084	0.079
 9	0.034	0.018	0.011	0.012	0.017	0.061	0.019	0.053	0.093
10	0.044	0.090	0.035	0.012	0.061	0.061	0.033	0.066	0.108
11	0.101	0.110	0.052	0.071	0.076	0.039	0.023	0.559	0.004
12	0.009	0.025	0.050	0.101	0.070	0.131	0.157	0.146	0.069
13	0.074	0.076	0.050	0.042	0.047	0.042	0.046	0.111	0.036
14	0.015	0.012	0.070	0.077	0.079	0.051	0.040	0.152	0.049
15	0.084	0.077	0.049	0.014	0.003	0.039	0.013	0.038	0.018
16	0.051	0.074	0.052	0.017	0.027	0.018	0.008	0.015	1.083
17	0.006	0.024	0.065	0.065	0.073	0.061	0.013	0.031	0.114
18	0.027	0.089	0.002	0.038	0.023	0.029	0.013	0.025	0.015
19	0.001	0.025	0.043	0.091	0.083	0.016	0.016	0.026	0.148
20	0.040	0.069	0.012	0.007	0.025	0.044	0.040	0.072	0.076
21	0.040	0.122	0.074	0.080	0.059	0.083	0.053	0.005	0.031
22	0.041	0.076	0.008	0.017	0.026	0.036	0.018	0.021	0.096
23	0.025	0.009	0.069	1.218	0.134	0.076	0.108	0.058	0.041
24	0.017	0.090	0.006	0.030	0.022	0.001	0.013	0.006	0.154
25	0.021	0.092	0.005	0.003	0.037	0.033	0.048	0.065	0.027
26	0.117	0.002	0.027	0.040	0.090	0.003	0.045	0.016	0.052
27	0.073	0.037	0.086	0.140	0.147	0.078	0.116	0.179	0.112
28	0.235	0.177	0.205	0.197	0.241	0.163	0.143	0.082	0.111
29	0.809	0.088	0.086	0.102	0.165	0.062	0.027	0.020	0.152
30	0.016	0.064	0.100	0.084	0.156	0.036	0.022	0.089	0.020
31	0.029	0.031	0.009	0.032	0.094	0.019	0.036	0.002	0.093
32	0.033	0.018	0.056	0.033	0.097	0.037	0.007	0.006	0.074
33	0.128	0.096	0.093	0.062	0.191	0.034	0.016	0.003	0.032
34	0.123	0.064	0.079	0.058	1.850	0.039	0.075	0.036	0.066
35	0.104	0.041	0.390	0.090	0.024	0.061	0.058	0.101	0.059
36	0.097	0.086	0.049	0.020	0.197	0.020	0.030	0.036	0.147
37	0.006	0.079	0.063	0.004	0.154	0.106	0.033	0.079	0.052
38	0.114	0.033	0.005	0.027	0.002	0.206	0.228	0.207	0.140
39	0.060	0.092	0.101	0.069	0.040	0.126	0.126	0.110	0.071
40	0.044	0.033	0.068	0.104	0.226	0.013	0.047	0.081	0.038
dist2cax	81.283	61.009	40.775	20.546	0.466	-19.653	-39.822	-60.076	-80.445
