Leaf	Picket_1	Picket_2	Picket_3	Picket_4	Picket_5	Picket_6	Picket_7	Picket_8	Picket_9
 1	0.128	0.108	0.106	0.076	0.051	0.243	0.141	0.222	0.052
 2	0.104	0.033	0.010	0.006	-0.027	0.041	-0.017	-0.035	-0.080
 3	0.114	0.073	0.068	0.072	-0.060	-1.123	0.069	-0.011	-0.009
 4	-0.028	-0.074	-0.047	-0.068	-0.062	0.078	-0.016	-0.029	-0.057
 5	-0.085	-0.073	-0.067	-0.028	-0.028	0.039	-0.028	-0.055	-0.124
 6	0.041	0.057	-0.047	-0.063	-0.009	0.076	-0.467	-0.062	-0.084
 7	-0.054	0.247	-0.054	-0.129	-0.069	0.090	-0.065	-0.062	-0.027
 8	-0.064	-0.113	-0.009	-0.088	0.032	0.170	0.144	0.079	-0.089
 9	0.026	-0.023	-0.030	-0.064	0.024	0.070	0.002	-0.014	-0.130
10	-0.035	-0.061	-0.020	-0.074	-0.050	0.065	0.001	0.041	-0.095
11	-0.032	-0.062	-0.065	-0.100	-0.021	-0.033	-0.034	-0.551	0.004
12	-0.034	-0.002	-0.069	-0.008	0.050	0.065	0.093	0.034	-0.001
13	-0.043	-0.076	-0.029	-0.062	0.033	0.050	0.088	0.104	-0.027
14	0.013	-0.022	0.025	-0.039	0.033	0.071	0.046	0.088	0.074
15	-0.022	-0.037	-0.003	0.019	0.052	0.043	0.063	0.057	-0.001
16	-0.045	-0.031	-0.037	-0.001	0.017	0.034	-0.020	-0.010	1.002
17	0.022	0.037	0.058	-0.034	0.052	0.045	-0.009	-0.011	-0.093
18	-0.078	-0.052	-0.037	-0.084	-0.064	-0.061	-0.059	-0.045	-0.079
19	0.017	-0.011	0.067	-0.045	0.008	0.034	-0.015	-0.017	-0.083
20	0.090	0.096	0.108	0.105	0.024	0.049	0.127	0.138	0.152
21	-0.056	-0.081	-0.065	-0.050	-0.009	-0.013	-0.033	0.048	0.095
22	0.014	-0.077	-0.008	-0.091	0.007	-0.006	-0.055	-0.047	-0.131
23	0.015	0.019	0.054	1.290	0.112	0.118	0.102	0.098	-0.010
24	0.066	-0.130	0.058	0.076	-0.037	0.043	-0.015	0.030	0.085
25	-0.023	-0.074	-0.006	-0.073	-0.031	-0.057	-0.079	-0.045	0.008
26	0.052	-0.054	0.027	0.010	-0.015	-0.022	-0.022	-0.010	0.005
27	0.034	0.027	0.076	0.053	0.080	0.111	0.122	0.184	0.083
28	0.218	0.188	0.136	0.068	0.143	0.133	0.134	0.104	-0.168
29	-0.756	0.116	0.125	0.044	0.083	0.078	0.056	0.038	0.036
30	-0.015	0.089	0.084	-0.013	0.095	0.039	0.025	0.062	0.029
31	0.046	0.040	0.048	-0.053	0.085	0.044	-0.034	-0.006	0.074
32	0.055	-0.000	0.015	-0.071	-0.009	-0.023	-0.025	-0.007	-0.080
33	0.112	0.075	0.061	-0.027	0.010	-0.041	-0.026	-0.015	0.007
34	0.097	0.006	0.018	-0.081	-0.466	-0.051	-0.028	0.002	-0.038
35	0.097	0.089	-0.422	0.014	-0.025	0.040	0.080	0.083	0.055
36	0.046	0.017	-0.002	-0.036	0.072	-0.002	0.012	0.023	-0.199
37	-0.049	-0.054	-0.033	-0.133	0.011	-0.055	-0.066	-0.094	-0.042
38	0.093	-0.018	-0.006	-0.107	-0.057	-0.121	-0.120	-0.203	-0.017
39	-0.042	-0.101	-0.057	-0.137	-0.043	-0.139	-0.054	-0.087	-0.066
40	0.040	-0.014	0.038	-0.015	0.067	-0.079	0.036	0.038	0.030
dist2cax	81.725	61.403	41.127	20.923	0.817	-19.353	-39.490	-59.675	-80.029
