Leaf	Picket_1	Picket_2	Picket_3	Picket_4	Picket_5	Picket_6	Picket_7	Picket_8	Picket_9
 1	0.047	0.013	0.007	0.050	0.067	0.028	0.134	0.158	0.126
 2	0.006	0.056	0.011	0.021	0.108	0.053	0.003	0.120	0.042
 3	0.039	0.022	0.001	0.004	0.009	0.099	0.043	0.017	0.038
 4	0.010	0.047	0.090	0.025	0.095	0.053	0.029	0.050	0.054
 5	0.004	0.014	0.010	0.070	0.027	0.059	0.018	0.013	0.003
 6	0.018	0.018	0.041	0.111	0.024	0.014	0.032	0.051	0.036
 7	0.084	0.013	0.054	0.094	0.052	0.103	0.066	0.188	0.079
 8	0.095	0.105	0.109	0.082	0.143	0.197	0.103	0.184	0.209
 9	0.034	0.035	0.014	0.075	0.015	0.028	0.035	0.067	0.108
10	0.032	0.065	0.014	0.122	0.010	0.096	0.022	0.034	0.059
11	0.076	0.084	0.106	0.110	0.022	0.104	0.118	0.044	0.193
12	0.102	0.119	0.115	0.020	0.032	0.040	0.019	0.050	0.077
13	0.017	0.051	0.052	0.011	0.010	0.026	0.021	0.016	0.011
14	0.029	0.016	0.033	0.018	0.056	0.017	0.024	0.082	0.082
15	0.079	0.085	0.068	0.057	0.021	0.017	0.031	0.000	0.060
16	0.079	0.007	0.003	0.022	0.017	0.005	0.017	0.020	0.004
17	0.047	0.095	0.033	0.024	0.081	0.037	0.002	0.047	0.085
18	0.069	0.061	0.003	0.020	0.025	0.059	0.053	0.009	0.063
19	0.026	0.128	0.008	0.003	0.052	0.075	0.076	0.002	0.131
20	0.169	0.110	0.092	0.063	0.008	0.012	0.055	0.042	0.036
21	0.066	0.075	0.044	0.019	0.054	0.010	0.014	0.053	0.031
22	0.003	0.018	0.026	0.037	0.021	0.023	0.048	0.065	0.057
23	0.071	0.124	0.058	0.004	0.066	0.011	0.022	0.049	0.154
24	0.172	0.091	0.020	0.089	0.008	0.051	0.008	0.045	0.125
25	0.112	0.017	0.066	0.004	0.026	0.074	0.030	0.018	0.039
26	0.080	0.037	0.055	0.071	0.004	0.013	0.027	0.028	0.135
27	0.090	0.137	0.002	0.016	0.174	0.098	0.029	0.130	0.095
28	0.110	0.007	0.103	0.024	0.018	0.122	0.095	0.044	0.148
29	0.020	0.050	0.127	0.101	0.071	0.075	0.039	0.060	0.067
30	0.144	0.170	0.064	0.051	0.144	0.002	0.001	0.010	0.017
31	0.282	0.188	0.335	0.136	0.152	0.081	0.118	0.365	0.424
32	0.004	0.106	0.027	0.021	0.022	0.025	0.024	0.029	0.034
33	0.036	0.002	0.075	0.063	0.233	0.042	0.029	0.004	0.042
34	0.039	0.252	0.094	0.075	0.137	0.163	0.217	0.362	0.306
35	0.089	0.039	0.022	0.057	0.121	0.007	0.005	0.032	0.198
36	0.049	0.059	0.006	0.027	0.033	0.040	0.069	0.087	0.055
37	0.034	0.015	0.018	0.056	0.062	0.093	0.083	0.043	0.053
38	0.028	0.012	0.003	0.037	0.063	0.077	0.048	0.010	0.069
39	0.110	0.046	0.011	0.025	0.094	0.015	0.060	0.023	0.066
40	0.028	0.028	0.083	0.106	0.029	0.102	0.014	0.073	0.154
00Y1x20Y2_dist2cax	80.792	60.397	39.964	19.653	-0.689	-21.038	-41.433	-61.851	-82.211
20Y1x00Y2_dist2cax	80.524	60.154	39.751	19.469	-0.872	-21.171	-41.582	-61.961	-82.270
