Leaf	Picket_1	Picket_2	Picket_3	Picket_4	Picket_5	Picket_6	Picket_7	Picket_8	Picket_9
 1	-0.017	0.140	0.079	-0.036	0.093	0.251	0.116	0.101	0.097
 2	-0.119	-0.001	-0.011	0.037	-0.020	0.103	-0.001	-0.051	0.058
 3	0.100	-0.036	-0.068	0.001	0.028	0.008	-0.016	-0.069	-0.001
 4	-0.001	-0.018	0.004	-0.060	-0.108	-0.002	-0.095	0.431	-0.162
 5	0.159	0.153	0.057	0.071	0.077	0.049	0.046	0.005	0.087
 6	-0.090	-0.017	0.018	0.021	-0.004	-0.020	-0.019	-0.051	0.063
 7	0.105	0.108	0.043	0.104	-0.015	-0.076	0.063	-0.072	-0.066
 8	-0.108	-0.030	-0.000	0.007	-0.094	-0.159	-0.064	-0.205	0.003
 9	0.111	-0.022	-0.048	0.086	0.006	-0.149	-0.053	-0.142	-0.044
10	-0.231	-0.198	-0.202	-0.083	-0.141	-0.213	-0.207	-0.292	-0.172
11	-0.087	-0.067	-0.165	0.060	-0.036	-0.148	0.009	-0.026	-0.111
12	0.182	0.123	0.248	0.219	0.184	0.147	0.108	0.183	0.201
13	-0.043	-0.135	-0.074	0.040	0.026	-0.120	0.045	-0.011	-0.043
14	-0.124	-0.343	-0.124	-1.117	-0.233	-0.285	-0.101	-0.090	-0.097
15	-0.061	-0.022	-0.015	0.044	0.050	-0.165	-0.030	-0.007	-0.051
16	0.030	-0.110	0.037	0.127	0.058	-0.122	0.033	0.039	-0.013
17	-0.020	-0.172	0.058	0.010	-0.050	-0.149	0.004	-0.062	0.016
18	0.032	-0.194	-0.057	0.118	0.026	1.386	0.128	0.144	0.011
19	-0.071	-0.162	0.004	0.052	0.008	-0.209	-0.052	0.039	0.022
20	0.117	0.832	0.080	0.179	0.029	-0.273	-0.012	0.041	0.090
21	-0.960	-0.019	0.167	-0.041	-0.065	-0.034	-0.048	-0.027	-0.070
22	0.314	-0.039	0.083	0.095	-0.028	0.032	-0.044	-0.140	-0.112
23	0.112	-0.087	0.084	-0.023	0.056	-0.073	-0.036	0.020	-0.050
24	0.011	-0.114	0.093	-0.135	-0.136	-0.129	-0.209	-0.062	-0.089
25	0.092	-0.053	0.068	-0.109	-0.013	-0.023	-0.039	-0.079	-0.077
26	0.120	0.058	0.095	-0.076	0.056	0.032	-0.076	-0.022	-0.066
27	0.092	0.008	-1.482	-0.014	-0.036	-0.056	0.079	0.048	-0.018
28	0.220	0.038	0.164	0.108	0.118	0.161	0.170	0.085	0.627
29	0.120	0.047	0.234	0.087	0.035	0.043	0.124	-0.012	0.006
30	0.047	-0.051	0.043	-0.033	0.058	-0.086	0.104	0.064	-0.011
31	0.249	0.224	0.257	0.139	0.176	0.204	0.190	0.273	0.068
32	-0.150	-0.026	0.012	-0.032	-0.017	-0.055	0.084	-0.017	-0.074
33	-0.015	0.075	-0.016	0.111	0.037	-0.010	0.149	-0.018	-0.101
34	0.032	0.043	0.092	0.032	-0.438	0.048	0.148	0.048	0.064
35	-0.041	0.006	0.013	0.021	-0.026	0.010	0.076	0.028	-0.028
36	-0.074	-0.049	-0.048	-0.136	-0.040	-0.077	-1.007	-0.161	-0.045
37	-0.064	0.010	0.023	-0.086	0.093	-0.041	-0.102	-0.056	0.048
38	-0.055	0.024	0.057	0.020	0.076	0.022	0.157	0.013	-0.023
39	0.025	-0.030	0.056	0.103	0.062	0.037	0.134	-0.044	-0.106
40	-0.231	-0.201	-0.143	-0.154	-0.092	-0.126	0.038	-0.070	-0.057
20Y2x00Y1_dist2cax	81.184	60.693	40.457	20.154	0.166	-20.272	-40.609	-60.984	-80.777
00Y2x20Y1_dist2cax	79.886	59.479	39.193	18.815	-1.385	-21.734	-42.043	-62.345	-82.481
