Leaf	Picket_1	Picket_2	Picket_3	Picket_4	Picket_5	Picket_6	Picket_7	Picket_8	Picket_9
 1	0.074	0.154	0.037	0.116	0.072	0.105	0.214	0.162	0.235
 2	0.033	-0.101	-0.013	-0.007	-0.013	0.062	0.015	0.058	0.111
 3	0.112	0.072	0.077	-0.005	0.035	0.052	0.072	0.059	-0.027
 4	-0.101	-0.056	0.001	-0.121	-0.183	-0.038	-0.142	-0.110	-0.102
 5	-0.116	0.007	-0.017	0.060	0.045	-0.034	0.003	-0.028	0.054
 6	-0.029	-0.095	-0.058	0.063	0.040	-0.055	0.050	0.042	-0.010
 7	0.009	0.016	-0.009	-0.006	0.031	-0.028	-0.051	0.007	0.012
 8	-0.106	-0.057	-0.047	-0.002	-0.070	-0.072	-0.146	-0.055	-0.150
 9	-0.111	-0.063	-0.073	-0.086	0.042	-0.139	-0.253	-0.181	-0.243
10	-0.065	-0.109	-0.035	-0.123	-0.060	-0.042	-0.195	-0.231	-0.185
11	-0.032	-0.011	-0.111	-0.151	-0.131	-0.270	-0.003	-0.059	-0.100
12	0.252	0.163	0.233	0.218	0.175	0.246	0.227	0.158	0.187
13	-0.054	-0.023	-0.064	-0.067	-0.048	-0.025	0.054	-0.030	-0.024
14	-0.092	-0.144	-0.156	-0.100	-0.080	-0.107	-0.120	-0.160	-0.100
15	0.115	0.063	0.063	-0.096	-0.016	0.032	0.036	0.061	-0.081
16	0.024	-0.066	-0.114	0.025	-0.028	0.094	0.055	0.003	0.119
17	-0.050	0.076	0.085	0.030	0.006	0.091	-0.079	0.022	-0.015
18	-0.041	0.005	-0.043	-0.011	-0.049	0.054	0.126	0.098	-0.000
19	-0.005	0.082	0.069	0.006	0.033	0.027	-0.034	-0.009	0.046
20	0.008	-0.070	0.015	0.106	0.055	-0.101	0.037	0.064	0.144
21	-0.028	0.005	-0.026	0.028	-0.060	-0.027	0.005	-0.048	-0.009
22	0.122	0.024	0.019	0.090	-0.010	0.024	-0.009	-0.083	-0.083
23	-0.074	-0.062	-0.114	0.039	0.102	-0.023	-0.000	0.070	0.021
24	-0.069	-0.188	-0.072	-0.133	-0.128	-0.112	-0.132	-0.055	-0.042
25	-0.097	-0.009	-0.054	-0.056	0.019	0.016	-0.107	-0.078	-0.005
26	0.048	0.041	-0.054	-0.025	-0.064	0.073	-0.034	-0.035	-0.101
27	-0.166	-0.040	0.066	-0.117	-0.042	-0.204	0.009	0.037	0.033
28	0.113	0.065	0.065	0.097	0.062	0.151	0.116	0.046	0.037
29	0.116	0.102	0.130	0.093	0.063	0.083	0.034	0.039	0.031
30	-0.113	-0.074	-0.038	-0.145	-0.003	-0.006	0.025	0.059	0.005
31	0.094	0.123	0.151	0.141	0.154	0.065	0.168	0.135	0.093
32	0.004	-0.059	-0.070	-0.108	-0.080	-0.016	-0.018	-0.016	0.001
33	0.023	0.061	0.007	0.025	0.010	-0.075	0.001	-0.098	-0.043
34	-0.021	-0.003	0.044	-0.075	-0.043	0.010	0.039	0.076	0.096
35	-0.007	-0.012	-0.002	0.042	-0.050	0.011	-0.091	-0.017	-0.043
36	-0.016	-0.044	-0.071	-0.063	-0.075	-0.069	-0.101	-0.100	0.001
37	0.026	0.060	-0.002	-0.073	-0.028	-0.025	0.019	0.036	0.015
38	-0.026	0.080	0.009	0.099	0.086	0.048	0.017	0.074	0.042
39	0.018	0.044	0.056	0.139	0.023	0.048	-0.023	-0.069	-0.031
40	-0.082	-0.247	-0.174	-0.112	-0.069	-0.093	-0.055	-0.093	-0.145
20Y2x00Y1_dist2cax	81.557	61.339	40.996	20.630	0.391	-19.990	-40.297	-60.751	-80.680
00Y2x20Y1_dist2cax	80.120	59.939	39.472	19.269	-0.911	-21.376	-41.519	-61.969	-81.867
