Leaf	Picket_1	Picket_2	Picket_3	Picket_4	Picket_5	Picket_6	Picket_7	Picket_8	Picket_9
 1	0.010	0.152	0.044	0.042	0.029	0.064	0.138	0.127	0.134
 2	0.119	0.058	0.040	0.071	0.052	0.166	0.062	0.005	0.085
 3	0.143	0.062	0.008	0.046	0.035	0.135	0.059	0.139	0.027
 4	0.028	0.067	0.020	0.009	0.005	0.031	0.137	0.373	0.179
 5	0.099	0.055	0.050	0.023	0.105	0.113	0.185	0.074	0.051
 6	0.123	0.121	0.019	0.018	0.053	0.108	0.078	0.077	0.039
 7	0.075	0.089	0.052	0.132	0.046	0.037	0.087	0.106	0.039
 8	0.117	0.057	0.037	0.058	0.110	0.197	0.096	0.146	0.056
 9	0.011	0.154	0.033	0.123	0.113	0.091	0.174	0.119	0.109
10	0.182	0.234	0.121	0.185	0.225	0.128	0.213	0.171	0.122
11	0.097	0.029	0.087	0.057	0.064	0.171	0.033	0.168	0.151
12	0.285	0.145	0.165	0.167	0.217	0.097	0.264	0.200	0.233
13	0.082	0.127	0.064	0.100	0.119	0.130	0.071	0.043	0.013
14	0.080	0.242	0.208	1.138	0.159	0.324	0.096	0.056	0.107
15	0.059	0.131	0.059	0.076	0.013	0.134	0.064	0.077	0.025
16	0.012	0.061	0.034	0.145	0.031	0.126	0.071	0.046	0.011
17	0.026	0.091	0.039	0.120	0.090	0.137	0.005	0.006	0.025
18	0.008	0.197	0.045	0.090	0.030	1.418	0.065	0.033	0.018
19	0.068	0.235	0.050	0.022	0.006	0.172	0.031	0.037	0.062
20	0.093	0.880	0.013	0.210	0.097	0.363	0.068	0.194	0.099
21	0.839	0.052	0.113	0.047	0.106	0.042	0.066	0.033	0.102
22	0.273	0.070	0.169	0.077	0.055	0.054	0.077	0.042	0.102
23	0.075	0.037	0.078	0.021	0.017	0.004	0.042	0.050	0.006
24	0.152	0.071	0.028	0.092	0.060	0.104	0.023	0.057	0.041
25	0.075	0.039	0.106	0.023	0.047	0.064	0.076	0.037	0.116
26	0.060	0.018	0.107	0.100	0.001	0.016	0.059	0.016	0.067
27	0.022	0.009	1.431	0.012	0.028	0.091	0.057	0.085	0.040
28	0.179	0.061	0.179	0.020	0.028	0.153	0.120	0.001	0.523
29	0.139	0.085	0.162	0.014	0.053	0.042	0.039	0.013	0.053
30	0.035	0.094	0.086	0.004	0.014	0.015	0.075	0.019	0.028
31	0.076	0.110	0.251	0.175	0.210	0.078	0.239	0.095	0.146
32	0.022	0.107	0.018	0.114	0.087	0.014	0.002	0.045	0.108
33	0.018	0.023	0.100	0.018	0.066	0.097	0.101	0.139	0.073
34	0.027	0.032	0.026	0.009	0.467	0.019	0.169	0.033	0.004
35	0.043	0.018	0.013	0.016	0.017	0.006	0.099	0.019	0.040
36	0.035	0.029	0.030	0.168	0.063	0.055	0.982	0.163	0.064
37	0.016	0.016	0.025	0.001	0.076	0.036	0.093	0.072	0.032
38	0.049	0.048	0.049	0.113	0.066	0.001	0.179	0.105	0.112
39	0.028	0.010	0.011	0.078	0.008	0.023	0.052	0.006	0.064
40	0.166	0.110	0.112	0.142	0.084	0.043	0.003	0.023	0.147
20Y2x00Y1_dist2cax	81.303	60.968	40.665	20.396	-0.142	-20.406	-40.799	-60.937	-80.487
00Y2x20Y1_dist2cax	79.838	59.436	39.159	19.295	-0.966	-21.710	-42.070	-62.344	-81.839
