Leaf	Picket_1	Picket_2	Picket_3	Picket_4	Picket_5	Picket_6	Picket_7	Picket_8	Picket_9
 1	0.084	0.092	0.070	0.137	0.094	0.137	0.182	0.168	0.214
 2	0.036	0.056	0.015	0.005	0.047	0.087	0.007	0.033	0.084
 3	0.062	0.055	0.018	0.032	0.020	0.017	0.078	0.064	0.001
 4	0.089	0.031	0.018	0.106	0.180	0.055	0.233	0.165	0.074
 5	0.035	0.008	0.021	0.013	0.026	0.037	0.032	0.033	0.054
 6	0.038	0.082	0.014	0.009	0.049	0.023	0.052	0.078	0.044
 7	0.088	0.079	0.066	0.029	0.020	0.024	0.047	0.017	0.021
 8	0.049	0.033	0.085	0.036	0.040	0.132	0.058	0.087	0.109
 9	0.057	0.042	0.117	0.043	0.007	0.127	0.147	0.151	0.263
10	0.057	0.086	0.085	0.138	0.086	0.042	0.140	0.172	0.169
11	0.040	0.067	0.116	0.207	0.092	0.267	0.059	0.036	0.083
12	0.274	0.260	0.214	0.213	0.187	0.240	0.198	0.147	0.172
13	0.011	0.006	0.022	0.038	0.003	0.015	0.033	0.004	0.019
14	0.089	0.061	0.147	0.123	0.056	0.109	0.136	0.157	0.118
15	0.109	0.056	0.037	0.059	0.002	0.035	0.013	0.029	0.079
16	0.039	0.100	0.034	0.037	0.032	0.068	0.059	0.036	0.070
17	0.071	0.042	0.041	0.033	0.003	0.113	0.118	0.044	0.038
18	0.002	0.056	0.077	0.017	0.043	0.048	0.115	0.062	0.010
19	0.001	0.118	0.035	0.003	0.024	0.029	0.018	0.029	0.033
20	0.084	0.092	0.078	0.111	0.006	0.084	0.016	0.113	0.195
21	0.034	0.002	0.006	0.012	0.021	0.016	0.024	0.015	0.005
22	0.162	0.056	0.032	0.105	0.019	0.051	0.059	0.057	0.095
23	0.097	0.060	0.123	0.050	0.088	0.024	0.019	0.060	0.016
24	0.104	0.141	0.077	0.126	0.137	0.131	0.121	0.076	0.045
25	0.074	0.058	0.088	0.098	0.016	0.031	0.112	0.013	0.005
26	0.016	0.056	0.030	0.006	0.058	0.047	0.034	0.019	0.082
27	0.140	0.025	0.064	0.115	0.075	0.147	0.035	0.006	0.006
28	0.141	0.056	0.095	0.107	0.060	0.137	0.149	0.012	0.043
29	0.074	0.103	0.087	0.057	0.050	0.081	0.026	0.044	0.031
30	0.145	0.113	0.048	0.075	0.015	0.013	0.012	0.042	0.002
31	0.154	0.056	0.141	0.095	0.164	0.058	0.150	0.103	0.084
32	0.118	0.096	0.101	0.092	0.080	0.001	0.021	0.022	0.011
33	0.024	0.054	0.013	0.057	0.024	0.101	0.058	0.107	0.067
34	0.117	0.036	0.070	0.012	0.003	0.038	0.042	0.050	0.126
35	0.000	0.007	0.037	0.029	0.028	0.024	0.041	0.000	0.002
36	0.004	0.022	0.071	0.088	0.070	0.088	0.043	0.139	0.015
37	0.020	0.022	0.008	0.084	0.064	0.072	0.072	0.011	0.007
38	0.007	0.058	0.029	0.066	0.060	0.042	0.005	0.069	0.020
39	0.003	0.048	0.057	0.128	0.032	0.047	0.068	0.000	0.053
40	0.140	0.140	0.199	0.106	0.138	0.056	0.144	0.037	0.116
20Y2x00Y1_dist2cax	81.769	61.491	41.102	20.756	0.496	-19.838	-40.164	-60.513	-80.654
00Y2x20Y1_dist2cax	80.498	59.953	39.772	19.196	-0.756	-21.214	-41.377	-61.947	-81.786
