Leaf	Picket_1	Picket_2	Picket_3	Picket_4	Picket_5	Picket_6	Picket_7	Picket_8	Picket_9
 1	-0.047	-0.039	0.012	0.022	0.035	-0.043	0.120	0.121	0.158
 2	-0.007	-0.033	0.012	0.008	0.086	0.035	-0.001	0.114	0.009
 3	0.009	0.031	-0.024	-0.019	-0.001	0.057	-0.061	0.012	-0.043
 4	-0.030	-0.051	-0.084	-0.024	-0.076	-0.069	-0.044	-0.045	-0.066
 5	0.017	-0.034	0.005	0.059	0.026	-0.037	-0.003	0.020	-0.018
 6	-0.018	-0.003	0.026	-0.061	0.006	0.027	-0.033	-0.062	-0.026
 7	-0.059	0.005	-0.045	-0.072	-0.061	-0.071	-0.054	-0.169	-0.053
 8	-0.109	-0.133	-0.113	-0.109	-0.151	-0.195	-0.110	-0.186	-0.180
 9	0.015	0.032	-0.015	-0.058	0.000	0.039	-0.025	-0.052	-0.105
10	0.040	0.108	0.052	0.123	-0.025	0.095	0.027	-0.002	0.041
11	0.122	0.110	0.115	0.129	0.024	0.122	0.122	0.042	0.171
12	0.120	0.114	0.104	-0.012	0.023	0.067	0.010	0.037	0.030
13	0.003	0.022	-0.034	-0.000	0.044	0.044	0.018	0.080	0.035
14	0.027	-0.069	0.020	-0.011	-0.047	0.025	0.057	0.100	0.092
15	0.052	-0.057	0.047	0.063	0.050	0.057	0.038	0.006	-0.019
16	-0.085	0.007	0.024	-0.023	0.048	-0.007	-0.009	-0.038	-0.010
17	0.075	0.112	-0.007	0.007	0.086	-0.048	0.000	0.000	0.073
18	0.032	0.073	-0.056	0.007	0.004	-0.052	0.013	-0.028	0.084
19	-0.053	-0.152	0.014	0.003	-0.085	-0.062	-0.116	-0.011	-0.168
20	-0.151	-0.102	-0.105	-0.084	-0.023	-0.020	0.020	0.049	-0.027
21	-0.017	-0.089	0.049	0.017	-0.064	-0.008	-0.030	-0.046	0.039
22	0.018	-0.043	0.044	0.028	0.019	0.028	0.064	-0.073	0.088
23	0.071	0.122	0.028	0.005	0.037	0.001	-0.001	-0.026	-0.142
24	0.159	0.113	0.016	-0.130	-0.002	0.065	0.021	-0.036	-0.112
25	-0.144	0.040	-0.075	0.022	-0.034	-0.088	-0.008	-0.007	0.008
26	-0.104	-0.050	-0.037	0.059	-0.025	-0.054	0.018	0.008	0.133
27	0.046	-0.105	-0.033	0.016	0.154	-0.107	-0.040	0.120	0.050
28	-0.093	-0.004	-0.074	0.002	0.039	0.123	-0.093	0.050	-0.200
29	-0.013	-0.003	-0.122	-0.056	0.064	0.087	0.078	0.062	0.051
30	-0.140	-0.159	-0.050	0.056	-0.116	0.008	-0.037	-0.030	0.012
31	0.304	0.172	0.306	0.122	0.178	-0.076	0.135	0.363	0.376
32	0.007	0.082	0.070	-0.030	0.023	0.039	-0.043	-0.042	0.003
33	-0.043	-0.026	-0.052	-0.061	-0.235	0.047	-0.030	-0.004	0.063
34	-0.037	-0.215	-0.095	-0.098	-0.158	-0.139	-0.229	-0.345	-0.301
35	-0.102	0.117	-0.036	-0.058	-0.142	0.004	-0.003	-0.048	-0.200
36	-0.068	-0.007	-0.031	-0.028	-0.017	-0.044	0.037	-0.092	-0.043
37	-0.033	0.036	-0.011	0.051	0.063	0.118	0.106	0.039	-0.059
38	-0.034	-0.019	-0.072	-0.003	0.045	-0.052	0.043	-0.001	-0.027
39	0.103	-0.020	-0.009	-0.031	0.085	-0.076	-0.062	-0.019	0.085
40	0.067	0.018	0.136	0.088	0.049	0.083	0.037	0.091	0.150
00Y1x20Y2_dist2cax	81.037	60.639	40.232	19.958	-0.426	-20.788	-41.261	-61.554	-81.955
20Y1x00Y2_dist2cax	80.553	60.224	39.868	19.570	-0.797	-21.149	-41.574	-61.911	-82.211
