Leaf	Picket_1	Picket_2	Picket_3	Picket_4	Picket_5	Picket_6	Picket_7	Picket_8	Picket_9
 1	0.068	0.056	0.020	0.040	0.002	0.024	0.056	0.053	0.146
 2	0.010	0.062	0.038	0.029	0.094	0.032	0.014	0.092	0.016
 3	0.068	0.025	0.012	0.001	0.038	0.060	0.023	0.012	0.055
 4	0.051	0.074	0.090	0.013	0.094	0.080	0.060	0.031	0.044
 5	0.030	0.007	0.056	0.094	0.031	0.030	0.030	0.087	0.022
 6	0.016	0.018	0.027	0.016	0.035	0.041	0.009	0.016	0.039
 7	0.048	0.001	0.003	0.006	0.036	0.035	0.071	0.141	0.053
 8	0.041	0.029	0.040	0.019	0.168	0.058	0.098	0.126	0.181
 9	0.050	0.076	0.007	0.046	0.031	0.026	0.031	0.015	0.100
10	0.060	0.082	0.078	0.013	0.010	0.077	0.009	0.023	0.085
11	0.068	0.128	0.047	0.003	0.025	0.100	0.125	0.005	0.193
12	0.064	0.163	0.019	0.023	0.037	0.038	0.059	0.016	0.085
13	0.027	0.011	0.042	0.049	0.079	0.064	0.022	0.008	0.041
14	0.018	0.066	0.045	0.044	0.054	0.093	0.014	0.026	0.007
15	0.057	0.034	0.053	0.075	0.023	0.012	0.031	0.011	0.007
16	0.024	0.037	0.039	0.035	0.047	0.043	0.000	0.016	0.008
17	0.024	0.008	0.060	0.069	0.112	0.055	0.061	0.045	0.067
18	0.009	0.076	0.071	0.013	0.031	0.034	0.026	0.019	0.088
19	0.003	0.108	0.083	0.104	0.078	0.173	0.133	0.068	0.136
20	0.077	0.187	0.029	0.027	0.013	0.011	0.014	0.071	0.028
21	0.011	0.086	0.008	0.030	0.076	0.023	0.114	0.046	0.044
22	0.018	0.026	0.017	0.022	0.032	0.035	0.055	0.057	0.082
23	0.118	0.128	0.070	0.024	0.078	0.012	0.071	0.036	0.128
24	0.041	0.154	0.031	0.112	0.043	0.064	0.041	0.060	0.112
25	0.071	0.032	0.033	0.064	0.015	0.028	0.084	0.002	0.008
26	0.043	0.119	0.001	0.066	0.117	0.063	0.060	0.014	0.122
27	0.041	0.091	0.042	0.048	0.182	0.129	0.001	0.106	0.060
28	0.094	0.038	0.034	0.015	0.063	0.097	0.138	0.098	0.169
29	0.035	0.001	0.060	0.071	0.102	0.067	0.085	0.077	0.076
30	0.178	0.094	0.108	0.069	0.108	0.099	0.067	0.020	0.005
31	0.288	0.227	0.303	0.148	0.171	0.042	0.154	0.270	0.317
32	0.062	0.083	0.060	0.013	0.022	0.015	0.050	0.028	0.002
33	0.093	0.040	0.070	0.118	0.177	0.010	0.054	0.058	0.080
34	0.069	0.124	0.168	0.012	0.113	0.087	0.304	0.339	0.306
35	0.017	0.033	0.133	0.025	0.151	0.041	0.021	0.078	0.174
36	0.008	0.030	0.116	0.061	0.011	0.032	0.161	0.089	0.070
37	0.015	0.011	0.061	0.051	0.077	0.033	0.170	0.028	0.057
38	0.013	0.058	0.038	0.070	0.034	0.041	0.157	0.001	0.032
39	0.134	0.033	0.075	0.046	0.060	0.021	0.007	0.015	0.101
40	0.071	0.025	0.061	0.145	0.020	0.053	0.130	0.138	0.154
00Y1x20Y2_dist2cax	81.371	60.969	40.514	20.157	-0.215	-20.566	-40.987	-61.318	-81.764
20Y1x00Y2_dist2cax	81.019	60.637	40.326	19.935	-0.448	-20.740	-41.119	-61.490	-81.834
