Leaf	Picket_1	Picket_2	Picket_3	Picket_4	Picket_5	Picket_6	Picket_7	Picket_8	Picket_9
11	0.074	0.027	0.126	0.063	0.053	0.024	0.062	0.024	0.100
12	0.038	0.054	0.076	0.036	0.010	0.006	0.009	0.008	0.123
13	0.062	0.107	0.017	0.011	0.028	0.019	0.060	0.065	0.099
14	0.043	0.099	0.027	0.047	0.050	0.084	0.024	0.038	0.011
15	0.043	0.010	0.106	0.056	0.048	0.001	0.042	0.016	0.036
16	0.031	0.078	0.082	0.037	0.020	0.000	0.006	0.015	0.092
17	0.115	0.074	0.122	0.079	0.125	0.016	0.023	0.000	0.047
18	0.100	0.135	0.110	0.069	0.013	0.027	0.004	0.037	0.009
19	0.094	0.063	0.022	0.006	0.031	0.089	0.100	0.126	0.133
20	0.024	0.061	0.045	0.059	0.031	0.014	0.014	0.024	0.040
21	0.031	0.116	0.006	0.022	0.020	0.009	0.056	0.034	0.000
22	0.026	0.018	0.035	0.045	0.015	0.014	0.052	0.079	0.052
23	0.092	0.141	0.048	0.010	0.027	0.001	0.046	0.016	0.110
24	0.035	0.163	0.003	0.056	0.007	0.023	0.032	0.025	0.066
25	0.045	0.039	0.048	0.147	0.004	0.039	0.005	0.003	0.005
26	0.064	0.169	0.045	0.012	0.094	0.021	0.035	0.033	0.121
27	0.089	0.108	0.054	0.027	0.162	0.105	0.050	0.115	0.035
28	0.093	0.002	0.021	0.001	0.019	0.075	0.048	0.054	0.037
29	0.017	0.037	0.079	0.091	0.035	0.001	0.089	0.056	0.070
30	0.051	0.102	0.032	0.100	0.128	0.079	0.045	0.085	0.019
