Leaf	Picket 1	Picket 2	Picket 3	Picket 4	Picket 5	Picket 6	Picket 7	Picket 8	Picket 9
11	0.024	0.034	0.031	0.018	0.023	0.055	0.051	0.019	0.129
12	0.061	0.025	0.041	0.025	0.009	0.003	0.021	0.056	0.061
13	0.081	0.055	0.137	0.101	0.023	0.045	0.065	0.044	0.082
14	0.002	0.096	0.011	0.018	0.062	0.007	0.048	0.041	0.087
15	0.007	0.068	0.056	0.081	0.005	0.034	0.046	0.005	0.067
16	0.067	0.033	0.025	0.011	0.039	0.033	0.040	0.053	0.070
17	0.087	0.147	0.043	0.009	0.039	0.081	0.027	0.009	0.039
18	0.088	0.103	0.021	0.074	0.051	0.063	0.007	0.058	0.014
19	0.003	0.062	0.085	0.046	0.005	0.069	0.033	0.087	0.160
20	0.039	0.057	0.027	0.004	0.016	0.039	0.040	0.012	0.021
21	0.098	0.071	0.021	0.001	0.036	0.013	0.012	0.030	0.025
22	0.018	0.020	0.010	0.039	0.016	0.006	0.002	0.082	0.033
23	0.046	0.082	0.030	0.062	0.002	0.013	0.022	0.034	0.138
24	0.163	0.012	0.099	0.157	0.023	0.021	0.033	0.026	0.091
25	0.123	0.008	0.131	0.088	0.024	0.082	0.040	0.031	0.018
26	0.113	0.062	0.052	0.012	0.003	0.059	0.012	0.022	0.118
27	0.111	0.139	0.047	0.024	0.101	0.028	0.063	0.123	0.056
28	0.074	0.026	0.022	0.007	0.020	0.106	0.063	0.031	0.011
29	0.008	0.056	0.030	0.087	0.027	0.053	0.065	0.058	0.041
30	0.078	0.081	0.044	0.076	0.142	0.054	0.034	0.047	0.024
