Leaf	Picket 1	Picket 2	Picket 3	Picket 4	Picket 5	Picket 6	Picket 7	Picket 8	Picket 9
11	0.166	0.106	0.101	0.096	0.101	0.096	0.063	0.057	0.061
12	0.182	0.218	0.121	0.129	0.172	0.155	0.162	0.182	0.101
13	0.050	0.041	0.028	0.028	0.007	0.018	0.040	0.017	0.033
14	0.090	0.085	0.174	0.174	0.097	0.136	0.085	0.068	0.100
15	0.031	0.081	0.133	0.103	0.028	0.033	0.071	0.016	0.037
16	0.006	0.030	0.122	0.055	0.044	0.035	0.045	0.001	0.029
17	0.014	0.025	0.027	0.030	0.013	0.016	0.077	0.074	0.132
18	0.005	0.062	0.009	0.010	0.094	0.010	0.016	0.052	0.006
19	0.044	0.021	0.103	0.057	0.148	0.010	0.048	0.014	0.001
20	0.047	0.078	0.085	0.115	0.004	0.047	0.103	0.100	0.037
21	0.007	0.075	0.015	0.047	0.024	0.071	0.009	0.045	0.055
22	0.016	0.060	0.053	0.064	0.015	0.001	0.094	0.064	0.108
23	0.042	0.122	0.033	0.088	0.059	0.025	0.006	0.097	0.094
24	0.039	0.008	0.103	0.102	0.025	0.155	0.055	0.029	0.091
25	0.003	0.026	0.001	0.023	0.015	0.037	0.062	0.028	0.030
26	0.024	0.040	0.097	0.118	0.024	0.064	0.040	0.123	0.121
27	0.082	0.010	0.126	0.082	0.045	0.085	0.016	0.039	0.085
28	0.028	0.015	0.038	0.004	0.008	0.143	0.107	0.080	0.082
29	0.044	0.042	0.058	0.090	0.018	0.112	0.017	0.094	0.093
30	0.087	0.152	0.035	0.120	0.010	0.068	0.003	0.052	0.080
